The Collections reverse() method can reverse the elements in a Java List.,"(""[Collections"", ""hasMethod"", ""reverse()]""); (""[List"", ""isReversedBy"", ""reverse()]"")"
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"(""Car"", ""hasField"", ""licensePlate""); (""Car"", ""hasMethod"", ""updateLicensePlate()""); (""updateLicensePlate()"", ""sets"", ""licensePlate"")"
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.",
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.",
Here is a Java instanceof example illustrating the comparison of null against a class:,
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.",
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",
The class does not need to implement (declare) the variables of an interface.,
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.",
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,"(""Java compiler"", ""requires"", ""class implementing the interface(s)""); (""class implementing the interface(s)"", ""implements"", ""method"")"
The implementation in the class takes precedence over any default implementations.,"(""implementation"", ""in"", ""class""); (""class"", ""takes precedence over"", ""default implementations"")"
"Since the return value of produce() is Object, it can return any Java object.",
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.",
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.",
Now the result variable would end up with the value 12.5.,
The example above defines a method called writeText inside a class named MyClass.,"(""MyClass"", ""defines"", ""writeText()"")"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,"(""example module descriptor"", ""requires"", ""javafx.graphics"")"
Here is how you run the main class from a Java module JAR file:,
In Java nested classes are classes that are defined inside another class.,"(""Java"", ""has"", ""nested classes""); (""nested classes"", ""are defined inside"", ""another class"")"
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.",
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.",
"If the classes A and B are located in the same Java package, there is no problem with the code above.",
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.",
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,"(""Java Record"", ""is a"", ""Java class""); (""Java Record"", ""has a"", ""concise syntax""); (""Java Record"", ""is for defining"", ""immutable data-only classes"")"
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"(""Java Record"", ""hasInstanceMethod"", ""regular Java class"")"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"(""brandAsLowerCase()"", ""calls"", ""brand()"")"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.",
You can search for substrings in Strings using the indexOf() method.,"(""Strings"", ""uses"", ""indexOf()"")"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,"(""Java String"", ""has"", ""lastIndexOf()"")"
The Java String class contains a method called trim() which can trim a string object.,"(""Java String"", ""contains"", ""trim()"")"
"If not, the default toString() method (inherited from the Object class) will get called.",
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"(""Java String"", ""got a new method"", ""translateEscapes()"")"
When you create an instance of a class (an object) the object can have methods you can execute.,
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.",
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.",
You can obtain the parent Logger of a given Logger using the getParent() method.,"(""Logger"", ""hasMethod"", ""getParent()""); (""Logger"", ""isParentOf"", ""Logger"")"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"(""LogRecord.getParameters()"", ""returns"", ""parameters"")"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"(""LogRecord.getResourceBundle()"", ""returns"", ""ResourceBundle"")"
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).",
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"(""DatagramSocket"", ""hasMethod"", ""receive()""); (""DatagramSocket"", ""creates"", ""DatagramPacket""); (""DatagramSocket"", ""receivesDataInto"", ""DatagramPacket"")"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"(""java.net"", ""contains"", ""URL""); (""java.net"", ""contains"", ""URLConnection""); (""URL"", ""is a"", ""class""); (""URLConnection"", ""is a"", ""class"")"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,"(""Future"", ""hasMethod"", ""isDone()""); (""Future"", ""returnedBy"", ""read()""); (""read"", ""returns"", ""Future"")"
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"(""AsynchronousFileChannel"", ""hasMethod"", ""write()"")"
The int returned by the read() method tells how many bytes were written into the Buffer.,"(""Buffer"", ""hasMethod"", ""read()""); (""read()"", ""returns"", ""int""); (""int"", ""indicates"", ""bytes""); (""bytes"", ""writtenInto"", ""Buffer"")"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"(""FileChannel"", ""hasMethod"", ""write()"")"
You can obtain the current position of the FileChannel object by calling the position() method.,"(""FileChannel"", ""hasMethod"", ""position()"")"
The Files.createDirectory() method creates a new directory from a Path instance.,"(""Files"", ""creates"", ""Directory()""); (""Files.createDirectory()"", ""creates"", ""new directory""); (""Files.createDirectory()"", ""from"", ""Path instance"")"
The Java NIO Files class also contains a function for moving files from one path to another.,"(""Files"", ""contains"", ""function""); (""function"", ""for"", ""moving files""); (""moving files"", ""from"", ""one path""); (""moving files"", ""to"", ""another"")"
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"(""walkFileTree()"", ""extends"", ""SimpleFileVisitor""); (""SimpleFileVisitor"", ""looks for"", ""README.txt"")"
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.",
"In many cases though, you can replace the use of the File class with use of the Path interface.",
The normalize() method of the Path interface can normalize a path.,"(""Path"", ""hasMethod"", ""normalize()"")"
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.",
"You can also attach an object already while registering the Channel with the Selector, in the register() method.",
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,
All you need to do is to obtain a ClassLoader and call its loadClass() method.,"(""ClassLoader"", ""hasMethod"", ""loadClass()"")"
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.",
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,"(""Class"", ""method"", ""Class.getDeclaredField(String name)""); (""Class"", ""method"", ""Class.getDeclaredFields()"")"
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.",
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.",
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.",
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",
"For that, you need to use the find(), start() and end() methods.",
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.",
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.",
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,"(""Matcher"", ""hasMethod"", ""replaceAll()""); (""Matcher"", ""hasMethod"", ""replaceFirst()"")"
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,"(""Pattern"", ""is referred to as"", ""pattern""); (""Java"", ""contains"", ""Pattern"")"
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"(""GZIPInputStream"", ""hasMethod"", ""close()"")"
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.",
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",
"In other words, as a call to the get() method on the HttpRequestCache singleton.",
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,"(""ScriptFactoryBuilder"", ""has"", ""addFactories()""); (""addFactories()"", ""takes"", ""InputStream""); (""addFactories()"", ""takes"", ""String"")"
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().",
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.",
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"(""IResultSetProcessor"", ""hasMethod"", ""getResult()"")"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.",
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,"(""CustomObjectMapperBase"", ""extends"", ""ICustomObjectMapper"")"
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"(""IObjectMapping"", ""hasMethod"", ""IObjectMapping.removeGetterMapping(String name)""); (""IObjectMapping"", ""hasMethod"", ""IObjectMapping.removeSetterMapping(String name)"")"
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().",
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"(""Predicate"", ""uses"", ""and()"")"
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.",
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"(""Collections"", ""sort"", ""Comparator"")"
The call to the map() method of the Stream interface is a non-terminal operation.,"(""Stream"", ""hasMethod"", ""map()"")"
Only the first occurrence of this element will be included in the Stream returned by distinct().,"(""Stream"", ""includes"", ""first occurrence""); (""Stream"", ""returned by"", ""distinct()"")"
"The findFirst() method returns an Optional from which you can obtain the element, if present.",
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.",
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,"(""Comparator"", ""implementation"", ""max()"")"
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"(""Optional"", ""contains"", ""value""); (""lambda expression"", ""passed to"", ""reduce()""); (""reduce()"", ""method"", ""value"")"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",
The value returned by write() is the number of bytes copied from the ByteBuffer.,"(""ByteBuffer"", ""write"", ""number of bytes copied"")"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"(""RingBuffer"", ""uses"", ""fillCount""); (""RingBuffer"", ""includes"", ""batch.put()""); (""RingBuffer"", ""includes"", ""take()"")"
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.",
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.",
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"(""HttpServlet"", ""is a"", ""GenericServlet""); (""HttpServlet"", ""is a"", ""javax.servlet.http.HttpServlet""); (""GenericServlet"", ""shown in"", ""Simple Servlet example"")"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,"(""GenericServlet"", ""extends"", ""interface""); (""HttpServlet"", ""extends"", ""interface"")"
Each test method usually tests a single method of the target class.,"(""Method"", ""tests"", ""Class"")"
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.",
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"(""MyIOUnit"", ""uses"", ""ByteArrayOutputStream""); (""MyIOUnit.write()"", ""collects"", ""OutputStream""); (""ByteArrayOutputStream"", ""collects"", ""data"")"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"(""StringReader"", ""is a class"", ""StringWriter"")"
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .",
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"(""BytesAllocatorManualDefrag"", ""hasMethod"", ""defragment()"")"
The Bytes class represents a byte sequence allocated from a shared byte array.,"(""Bytes"", ""represents"", ""byte sequence"")"
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.",
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.",
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,"(""RionObjectReaderBuilder"", ""creates"", ""RionObjectReader"")"
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"(""RionObjectReader"", ""hasMethod"", ""readCyclic()"")"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,"(""RionObjectWriter"", ""hasMethod"", ""writeAcyclic()"")"
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"(""RionReader"", ""hasMethod"", ""moveInto()""); (""RionReader"", ""hasMethod"", ""moveOutOf()"")"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:",
The StreamStorageFS class contains a method to read bytes from a stream block file.,"(""StreamStorageFS"", ""contains"", ""read bytes from a stream block file"")"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.",
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"(""StreamStorageRootFS"", ""hasMethod"", ""getRootDirPath()"")"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.",
You can read the data stored in a Buffer using the many get...() methods.,"(""Buffer"", ""hasMethod"", ""get...()"")"
Notice the use of / as directory separator and the use of : as classpath entry separator.,
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.",
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"(""EventBus"", ""hasMethod"", ""send()""); (""EventBus"", ""hasMethod"", ""publish()"")"
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,"(""verticle"", ""hasMethod"", ""start()""); (""verticle"", ""hasMethod"", ""stop()""); (""start()"", ""isCalledWhen"", ""verticle is deployed""); (""stop()"", ""isCalledWhen"", ""verticle is undeployed"")"
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"(""addAll()"", ""takes"", ""Collection""); (""addAll()"", ""accepts"", ""List""); (""addAll()"", ""accepts"", ""Java Set"")"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"(""Thread"", ""executes"", ""unlock()""); (""Thread"", ""waiting in"", ""lock()""); (""Thread"", ""leaves"", ""outer synchronized block"")"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"(""Thread"", ""cannot call"", ""wait()""); (""Thread"", ""cannot call"", ""notify()""); (""Thread"", ""cannot call"", ""notifyAll()""); (""wait()"", ""requires lock on"", ""object""); (""notify()"", ""requires lock on"", ""object""); (""notifyAll()"", ""requires lock on"", ""object"")"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.",
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"(""java.lang.ThreadLocal"", ""hasMethod"", ""get()""); (""java.lang.ThreadLocal"", ""hasMethod"", ""set()""); (""java.lang.ThreadLocal"", ""hasInitialValue"", ""initial value"")"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,"(""Map"", ""uses"", ""put()""); (""Map"", ""uses"", ""get()"")"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"(""Deque.pollLast()"", ""is different than"", ""removeLast()""); (""removeLast()"", ""throws"", ""exception""); (""exception"", ""if"", ""Deque is empty"")"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"(""tailSet()"", ""works the same way as"", ""headSet()""); (""tailSet()"", ""returns"", ""all elements""); (""all elements"", ""are equal to or higher than"", ""given parameter element"")"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.",
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,"(""java.io.Writer"", ""works like"", ""Reader""); (""Reader"", ""works like"", ""InputStream""); (""Writer"", ""works like"", ""OutputStream"")"
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,"(""MyWaitNotify"", ""calls"", ""wait()""); (""MyWaitNotify"", ""calls"", ""notify()""); (""doWait()"", ""stores"", ""signals""); (""doNotify()"", ""stores"", ""signals""); (""signals"", ""are stored in"", ""MyWaitNotify instances"")"
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,"(""Result"", ""Relationship"", ""String""); (""String"", ""Relationship"", ""StringBuilder""); (""StringBuilder"", ""Relationship"", ""String""); (""String"", ""Relationship"", ""toString()"")"
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,"(""logp()"", ""works like"", ""log() ""); (""logp()"", ""takes extra parameters"", ""sourceClass""); (""logp()"", ""takes extra parameters"", ""sourceMethod"")"
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,"(""PipedOutputStream"", ""is a subclass of"", ""OutputStream""); (""PipedOutputStream"", ""has the same basic methods and use patterns as"", ""OutputStream"")"
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,"(""Set"", ""convertTo"", ""List""); (""List"", ""calls"", ""addAll()""); (""addAll()"", ""parameter"", ""Set"")"
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,"(""Java Networking APIs"", ""enable"", ""open and close network connections""); (""Java Networking APIs"", ""communicate via"", ""Java IO classes""); (""Java IO classes"", ""include"", ""InputStream""); (""Java IO classes"", ""include"", ""OutputStream"")"
Again here the first() and next() methods return the unicode index of the found word boundary,"(""first()"", ""returns"", ""unicode index""); (""next()"", ""returns"", ""unicode index"")"
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"(""contains()"", ""uses"", ""== operator""); (""contains()"", ""does not use"", ""equals()"")"
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"(""Java File"", ""works"", ""FileChannel""); (""Java NIO"", ""use"", ""FileChannel""); (""Java NIO"", ""contains"", ""FileChannel"")"
If you need an integer value use the round() floor() or ceil() method,"(""round()"", ""is a method of"", ""Integer""); (""floor()"", ""is a method of"", ""Integer""); (""ceil()"", ""is a method of"", ""Integer"")"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"(""Queue"", ""hasMethod"", ""poll()""); (""Queue"", ""hasMethod"", ""remove()""); (""poll()"", ""returns"", ""null""); (""remove()"", ""throws"", ""exception""); (""Queue"", ""isEmpty"", ""poll()""); (""Queue"", ""isEmpty"", ""remove()"")"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.",
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"(""ClassName"", ""hasMethod"", ""ceilingEntry()""); (""ClassName"", ""hasMethod"", ""floorEntry()""); (""ClassName"", ""hasMethod"", ""higherEntry()""); (""ClassName"", ""hasMethod"", ""lowerEntry()"")"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"(""InputStream"", ""uses"", ""socket""); (""OutputStream"", ""uses"", ""socket""); (""InputStream"", ""is a"", ""Java IO class""); (""OutputStream"", ""is a"", ""Java IO class"")"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"(""Java Collection API"", ""relies on"", ""hashCode()""); (""Java Collection API"", ""relies on"", ""equals()"")"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"(""PrintWriter"", ""creates"", ""PrintWriter instance""); (""PrintWriter instance"", ""connected to"", ""FileWriter"")"
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"(""InputStream"", ""hasMethod"", ""read()""); (""AsynchronousFileChannel"", ""isCreatedBy"", ""InputStream.read()""); (""ByteBuffer"", ""isCreatedBy"", ""InputStream.read()""); (""read()"", ""hasParameter"", ""ByteBuffer""); (""read()"", ""hasParameter"", ""position""); (""position"", ""hasValue"", ""0"")"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"(""SimpleDateFormat"", ""explains"", ""java.lang.StringBuffer"")"
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"(""BufferedInputStream"", ""supports"", ""mark()""); (""BufferedInputStream"", ""supports"", ""reset()""); (""InputStream"", ""calls"", ""markSupported()"")"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.",
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"(""Queue"", ""hasMethod"", ""poll()""); (""Deque"", ""hasMethod"", ""remove()""); (""remove()"", ""throwsException"", ""Deque""); (""Deque"", ""isEmpty"", ""true"")"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"(""set()"", ""contains"", ""synchronized block""); (""get()"", ""contains"", ""synchronized block"")"
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.",
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"(""logrb()"", ""works like"", ""log()"")"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"(""Handler"", ""uses"", ""java.util.logging.Formatter""); (""java.util.logging.Formatter"", ""formats"", ""LogRecord""); (""LogRecord"", ""is written to"", ""external system"")"
