The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'dependency', 'class'): (reverse, can reverse, list)""]"
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"[""('class', 'dependency', 'method'): (keypair, can be accessed by calling, getpublic)"", ""('class', 'implementation', 'method'): (keypair, is accessed through, getpublic)""]"
You can access the PrivateKey of a KeyPair by calling the getPrivate() method.,"[""('class', 'dependency', 'method'): (keypair, can be accessed by calling, getprivate)"", ""('class', 'containment', 'class'): (keypair, has a, privatekey)"", ""('method', 'dependency', 'class'): (getprivate, is used to access, privatekey)""]"
You can create a Java KeyStore instance by calling its getInstance() method.,[]
This Keytool -delete command will remove the KeyStore entry with the alias testkey from the KeyStore stored in the file keystore.jks .,"[""('class', 'dependency', 'class'): (keytool, relies on, keystore)""]"
"You create a digital signature by calling the update() method one or more times, finishing with a call to sign().","[""('method', 'dependency', 'method'): (update, relies on to finish with, sign)"", ""('method', 'dependency', 'method'): (sign, relies on, update)""]"
"If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.","[""('class', 'dependency', 'class'): (java.sql.date, used with, java.sql.timestamp)"", ""('class', 'similarity', 'class'): (java.sql.date, used for same purpose as, java.sql.timestamp)""]"
Here is an example of how to create a Duration object using the between() method:,"[""('method', 'creation', 'class'): (between, creates, duration)""]"
Here is an example that shows how to create a LocalDateTime object via the now() method:,"[""('class', 'dependency', 'method'): (localdatetime, relies on, now)""]"
The LocalTime class in the Java 8 date time API represents a specific time of day without any time zone information.,[]
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"[""('method', 'creation', 'class'): (of, creates, zoneid)"", ""('method', 'dependency', 'class'): (of, relies on, zoneid)""]"
"If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.","[""('class', 'dependency', 'class'): (java.sql.preparedstatement, interacts with, java.sql.resultset)"", ""('class', 'dependency', 'class'): (java.sql.preparedstatement, interacts with, java.sql.date)"", ""('class', 'dependency', 'class'): (java.sql.resultset, interacts with, java.sql.date)""]"
One difference in the java.sql.Timestamp from its superclass java.util.Date is its ability to hold the nanoseconds of a date too.,[]
You can get and set the nanoseconds using the getNanos() and setNanos().,"[""('method', 'dependency', 'method'): (getnanos, uses, setnanos)"", ""('method', 'dependency', 'method'): (setnanos, uses, getnanos)""]"
The Calendar class has a corresponding set() method so you can set these fields too.,"[""('class', 'dependency', 'method'): (calendar, has a corresponding, set)"", ""('class', 'implementation', 'method'): (calendar, has a corresponding set() method, set)""]"
"You can access the date and time contained in a java.util.Date instance using the getTime() method, like this:","[""('class', 'dependency', 'method'): (java.util.date, uses, gettime())"", ""('class', 'implementation', 'method'): (java.util.date, implements, gettime())""]"
You can compare java.util.Date instance because the class implements the java.lang.Comparable interface.,"[""('class', 'implementation', 'interface'): (java.util.date, implements, java.lang.comparable)""]"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"[""('class', 'dependency', 'class'): (java.util.timezone, is used in conjunction with, java.util.calendar)""]"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"[""('method', 'dependency', 'class'): (readnumberfromurl, needs to declare throwing, badurlexception)"", ""('method', 'dependency', 'class'): (readnumberfromurl, needs to declare throwing, badnumberexception)"", ""('method', 'dependency', 'method'): (readnumberfromurl, relies on, readdatafromurl)"", ""('method', 'dependency', 'method'): (readnumberfromurl, relies on, convertdata)"", ""('method', 'dependency', 'class'): (readdatafromurl, throws, badurlexception)"", ""('method', 'dependency', 'class'): (convertdata, throws, badnumberexception)"", ""('method', 'implementation', 'class'): (readnumberfromurl, declares throwing, badurlexception)"", ""('method', 'implementation', 'class'): (readnumberfromurl, declares throwing, badnumberexception)""]"
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"[""('method', 'dependency', 'class'): (readnumberfromurl, declares throwing, applicationexception)""]"
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.","[""('class', 'dependency', 'class'): (ioexception, catches, filenotfoundexception)"", ""('class', 'containment', 'class'): (ioexception, is superclass of, filenotfoundexception)""]"
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.","[""('class', 'dependency', 'class'): (input, relies on to throw, ioexception)"", ""('class', 'dependency', 'method'): (input, calls, close)"", ""('class', 'dependency', 'class'): (input, wraps and rethrows, ioexception)""]"
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"[""('class', 'dependency', 'method'): (throwable, has, addsuppressed)"", ""('class', 'implementation', 'method'): (throwable, interacts with, addsuppressed)""]"
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"[""('method', 'dependency', 'class'): (applypattern, applies to, decimalformat)"", ""('method', 'implementation', 'class'): (applypattern, is used with, decimalformat)""]"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"[""('method', 'similarity', 'method'): (applylocalizedpattern, does the same as, applypattern)"", ""('method', 'dependency', 'class'): (applylocalizedpattern, interpretes according to the locale of, decimalformat)"", ""('method', 'dependency', 'class'): (applypattern, used with, decimalformat)""]"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.",[]
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"[""('method', 'creation', 'class'): (locale.forlanguagetag, is used to create, locale)""]"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"[""('class', 'containment', 'method'): (resourcebundle, access values via, getstring)"", ""('class', 'containment', 'method'): (resourcebundle, access values via, getobject)"", ""('class', 'implementation', 'method'): (resourcebundle, use, getstring)"", ""('method', 'dependency', 'class'): (getstring, relies on, resourcebundle)"", ""('method', 'dependency', 'class'): (getobject, relies on, resourcebundle)""]"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,[]
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"[""('class', 'dependency', 'method'): (simpledateformat, uses, format)"", ""('class', 'implementation', 'method'): (simpledateformat, implements, format)""]"
The Date instance passed to the format() method is a java.util.Date instance.,"[""('class', 'dependency', 'method'): (java.util.date, passed to, format)"", ""('method', 'dependency', 'class'): (format, is called with, java.util.date)""]"
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","[""('class', 'dependency', 'class'): (simpledateformat, is capable of formatting, date)"", ""('class', 'dependency', 'class'): (simpledateformat, is capable of formatting, stringbuffer)"", ""('class', 'conversion', 'class'): (simpledateformat, formats into, string)"", ""('class', 'conversion', 'class'): (date, is formatted into, string)"", ""('class', 'conversion', 'class'): (date, is formatted into, stringbuffer)"", ""('class', 'dependency', 'class'): (string, is result of formatting, date)""]"
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"[""('class', 'conversion', 'class'): (string, can be parsed into, java.util.date)"", ""('class', 'dependency', 'class'): (string, uses, simpledateformat)"", ""('class', 'dependency', 'class'): (java.util.date, uses, simpledateformat)"", ""('class', 'conversion', 'class'): (string, is converted to, java.util.date)"", ""('class', 'dependency', 'class'): (java.util.date, relies on, simpledateformat)"", ""('class', 'dependency', 'method'): (simpledateformat, uses, parse())""]"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"[""('class', 'dependency', 'method'): (simpledateformat, uses, settimezone)"", ""('class', 'implementation', 'method'): (simpledateformat, settimezone, settimezone)""]"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.","[""('method', 'dependency', 'method'): (marksupported, is used to determine support for, mark)"", ""('method', 'dependency', 'method'): (marksupported, is used to determine support for, reset)"", ""('method', 'implementation', 'class'): (marksupported, is supported by, bufferedinputstream)"", ""('method', 'implementation', 'class'): (marksupported, is supported by, inputstream)"", ""('method', 'dependency', 'method'): (mark, is used with, reset)"", ""('method', 'implementation', 'class'): (mark, is used by, bufferedinputstream)"", ""('method', 'implementation', 'class'): (mark, is used by, inputstream)"", ""('method', 'dependency', 'method'): (reset, is used with, mark)"", ""('method', 'implementation', 'class'): (reset, is used by, bufferedinputstream)"", ""('method', 'implementation', 'class'): (reset, is used by, inputstream)"", ""('class', 'containment', 'class'): (bufferedinputstream, is a type of, inputstream)""]"
"After that, the while loop exits, and the BufferedInputStream close() method is called.","[""('class', 'dependency', 'method'): (bufferedinputstream, is closed by, close)"", ""('class', 'dependency', 'method'): (bufferedinputstream, relies on, close)""]"
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:","[""('method', 'dependency', 'class'): (setsource, returns a reference to, reusablebufferedinputstream)"", ""('method', 'implementation', 'class'): (setsource, interacts with, reusablebufferedinputstream)""]"
To write data to a Java BufferedOutputStream you can use its write() method.,"[""('class', 'dependency', 'method'): (bufferedoutputstream, uses, write)"", ""('class', 'implementation', 'method'): (bufferedoutputstream, writes data through, write)""]"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"[""('class', 'dependency', 'method'): (bufferedoutputstream, relies on for disk write, flush)"", ""('method', 'dependency', 'class'): (flush, enables disk write for, bufferedoutputstream)""]"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.",[]
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.","[""('class', 'dependency', 'class'): (bufferedreader, can be used as, reader)"", ""('class', 'implementation', 'class'): (bufferedreader, is a subclass of, reader)""]"
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.","[""('class', 'dependency', 'method'): (bufferedreader, has a read method, read)"", ""('class', 'implementation', 'method'): (bufferedreader, uses, read)""]"
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"[""('class', 'dependency', 'method'): (bufferedreader, has a special read method named, readline)"", ""('class', 'implementation', 'method'): (bufferedreader, reads a full line of text from, readline)""]"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"[""('class', 'dependency', 'method'): (bufferedwriter, relies on, flush())"", ""('method', 'dependency', 'class'): (flush(), relies on, bufferedwriter)"", ""('class', 'implementation', 'method'): (bufferedwriter, uses, flush())"", ""('class', 'implementation', 'method'): (bufferedwriter, interacts through, flush())""]"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"[""('class', 'dependency', 'method'): (bytearrayinputstream, has a method, mark)"", ""('method', 'implementation', 'class'): (mark, is part of, bytearrayinputstream)""]"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:","[""('class', 'dependency', 'class'): (bytearrayoutputstream, is a subclass of, outputstream)"", ""('class', 'dependency', 'method'): (bytearrayoutputstream, uses, write)"", ""('class', 'dependency', 'method'): (outputstream, has, write)""]"
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.",[]
You can read a Java float from the DataInputStream using its readFloat() method.,"[""('class', 'dependency', 'method'): (datainputstream, uses, readfloat)""]"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"[""('class', 'dependency', 'method'): (datainputstream, uses, readunsignedshort)"", ""('class', 'implementation', 'method'): (datainputstream, implements, readunsignedshort)""]"
You can read a Java long from the DataInputStream using its readLong() method.,"[""('class', 'dependency', 'method'): (datainputstream, uses, readlong())"", ""('method', 'dependency', 'class'): (readlong(), depends on, datainputstream)""]"
"To rename (or move) a file, call the method renameTo() on the File class.","[""('class', 'dependency', 'method'): (file, relies on, renameto)"", ""('class', 'implementation', 'method'): (file, calls, renameto)""]"
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"[""('class', 'dependency', 'method'): (file, obtained by, list)"", ""('class', 'dependency', 'method'): (file, obtained by, listfiles)"", ""('method', 'similarity', 'method'): (list, equivalent to, listfiles)""]"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"[""('method', 'difference', 'method'): (list, differs from, listfiles)""]"
To write data to a Java FileOutputStream you can use its write() method.,"[""('class', 'dependency', 'method'): (fileoutputstream, uses, write)""]"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"[""('class', 'dependency', 'method'): (fileoutputstream, uses, write)"", ""('class', 'implementation', 'method'): (fileoutputstream, implements, write)""]"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"[""('class', 'implementation', 'method'): (fileoutputstream, closes using, close)""]"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"[""('class', 'conversion', 'class'): (fileoutputstream, can be converted to, outputstreamwriter)"", ""('class', 'conversion', 'class'): (fileoutputstream, can be converted to, writer)"", ""('class', 'implementation', 'class'): (outputstreamwriter, is used to implement, writer)""]"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"[""('class', 'implementation', 'method'): (filewriter, uses, flush)""]"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,[]
Notice how there is no longer any explicit close() method call to the FileWriter instance.,"[""('method', 'dependency', 'class'): (close, is_no_longer_explicitly_called_on, filewriter)""]"
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"[""('class', 'containment', 'method'): (inputstream, contains, readallbytes)""]"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"[""('class', 'dependency', 'method'): (inputstream, read via, readallbytes)"", ""('class', 'implementation', 'method'): (inputstream, readallbytes from, readallbytes)""]"
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.","[""('method', 'dependency', 'method'): (mark(), supports, reset())"", ""('method', 'dependency', 'method'): (mark(), should override, marksupported())"", ""('method', 'dependency', 'method'): (reset(), should override, marksupported())"", ""('method', 'implementation', 'class'): (mark(), override, inputstream)"", ""('method', 'implementation', 'class'): (reset(), override, inputstream)"", ""('method', 'implementation', 'class'): (marksupported(), return true, inputstream)""]"
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"[""('class', 'dependency', 'method'): (inputstreamreader, returns, read)"", ""('method', 'dependency', 'class'): (read, relies on, inputstreamreader)""]"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,[]
"Like with FilterInputStream, I see no sensible purpose for this class.",[]
They make it somewhat easier to understand what the classes are targeting.,[]
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"[""('class', 'dependency', 'method'): (pipedreader, returns, read)"", ""('method', 'dependency', 'class'): (read, is method of, pipedreader)""]"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.","[""('method', 'dependency', 'class'): (printf, is a method of, printwriter)""]"
Closing a Java StringReader can be done using the close() method like this:,"[""('class', 'dependency', 'method'): (stringreader, can be closed using, close)"", ""('class', 'implementation', 'method'): (stringreader, is closed by calling, close)""]"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"[""('class', 'dependency', 'method'): (outputstream, relies on for data destination, flush())"", ""('class', 'containment', 'method'): (outputstream, contains method, flush())"", ""('class', 'implementation', 'method'): (outputstream, implements method, flush())"", ""('class', 'containment', 'class'): (outputstream, has method, outputstream)""]"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"[""('class', 'dependency', 'method'): (outputstreamwriter, uses, flush)"", ""('method', 'dependency', 'class'): (flush, used by, outputstreamwriter)"", ""('class', 'containment', 'method'): (outputstreamwriter, has method, outputstreamwriter.flush)"", ""('class', 'dependency', 'method'): (outputstreamwriter, relies on, outputstreamwriter.flush)"", ""('method', 'dependency', 'class'): (outputstreamwriter.flush, is part of, outputstreamwriter)"", ""('class', 'implementation', 'method'): (outputstreamwriter, implements, outputstreamwriter.flush)"", ""('method', 'dependency', 'class'): (flush, interrupts, outputstreamwriter)""]"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.","[""('class', 'dependency', 'method'): (pushbackinputstream, relies on for read operation, read)"", ""('method', 'dependency', 'class'): (read, is relied on by, pushbackinputstream)""]"
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .","[""('method', 'dependency', 'class'): (read, performed on, inputstream)""]"
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.","[""('class', 'dependency', 'method'): (randomaccessfile, relies on, write)"", ""('method', 'dependency', 'class'): (write, advances, randomaccessfile)""]"
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,[]
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"[""('class', 'dependency', 'method'): (streamtokenizer, calls, nexttoken)"", ""('class', 'implementation', 'method'): (streamtokenizer, has method, nexttoken)""]"
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).","[""('class', 'dependency', 'class'): (system.in, initialized by, java vm)"", ""('class', 'dependency', 'class'): (system.out, initialized by, java vm)"", ""('class', 'dependency', 'class'): (system.err, initialized by, java vm)"", ""('class', 'containment', 'class'): (java vm, starts up with, system.in)"", ""('class', 'containment', 'class'): (java vm, starts up with, system.out)"", ""('class', 'containment', 'class'): (java vm, starts up with, system.err)"", ""('class', 'replacement', 'class'): (system.in, can be exchanged with, system.out)"", ""('class', 'replacement', 'class'): (system.out, can be exchanged with, system.err)"", ""('class', 'similarity', 'class'): (system.in, is similarly initialized as, system.out)"", ""('class', 'similarity', 'class'): (system.in, is similarly initialized as, system.err)"", ""('class', 'similarity', 'class'): (system.out, is similarly initialized as, system.err)""]"
You will normally use a Writer subclass rather than a Writer directly.,[]
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,"[""('class', 'dependency', 'method'): (class, relies on, forname)"", ""('class', 'implementation', 'method'): (class, interacts with, forname)""]"
"By the way, imagine that the used Person class looks like this:",[]
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"[""('class', 'creation', 'class'): (connection, creates, databasemetadata)"", ""('class', 'dependency', 'method'): (connection, uses, getmetadata)"", ""('class', 'containment', 'class'): (connection, contains, databasemetadata)""]"
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,"[""('method', 'creation', 'class'): (getcolumns, returned, resultset)""]"
Before the first next() call the ResultSet is positioned before the first row.,"[""('method', 'dependency', 'class'): (next, is called after the position of, resultset)""]"
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.",[]
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.",[]
The purpose of an abstract class is to function as a base for subclasses.,[]
"If a class has an abstract method, the whole class must be declared abstract.","[""('class', 'dependency', 'method'): (class, has, method)"", ""('class', 'containment', 'method'): (class, contains, method)""]"
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,[]
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"[""('class', 'dependency', 'class'): (smartclock, has a method called gettimeinseconds() which accesses the time variable of the, clock)"", ""('method', 'dependency', 'class'): (gettimeinseconds, accesses the time variable of the, clock)"", ""('method', 'implementation', 'class'): (gettimeinseconds, is a method of, smartclock)"", ""('class', 'containment', 'class'): (smartclock, is a subclass of, clock)""]"
The utility class is called Arrays and is located in the standard Java package java.util.,[]
The purpose of a constructor is to initialize the fields in the class.,"[""('method', 'dependency', 'class'): (constructor, initialize the fields in, class)"", ""('class', 'containment', 'method'): (class, has a, constructor)""]"
Now the isValid() method returns the value returned by the value.equals() method call.,"[""('method', 'dependency', 'method'): (isvalid, returns the value of, value.equals)"", ""('method', 'dependency', 'method'): (value.equals, is returned by, isvalid)""]"
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,"[""('method', 'dependency', 'class'): (getlicenseplate, relies on, vehicle)"", ""('method', 'implementation', 'class'): (getlicenseplate, is implemented in, vehicle)""]"
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.","[""('class', 'conversion', 'class'): (truck, is converted to, vehicle)"", ""('class', 'containment', 'class'): (vehicle, is a superclass of, truck)"", ""('class', 'containment', 'class'): (truck, is a subclass of, vehicle)""]"
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"[""('method', 'dependency', 'class'): (updatelicenseplate, sets the license plate value on the, car)"", ""('method', 'implementation', 'class'): (updatelicenseplate, updates, car)""]"
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.","[""('method', 'dependency', 'class'): (getlicenseplate, returns the value of the licenseplate field in, vehicle)"", ""('method', 'implementation', 'class'): (getlicenseplate, returns the value of, vehicle)""]"
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.","[""('method', 'dependency', 'class'): (method, relies on, superclass)"", ""('class', 'dependency', 'class'): (subclass, relies on, superclass)"", ""('method', 'dependency', 'class'): (method, is overridden by, subclass)"", ""('class', 'implementation', 'method'): (subclass, overrides, method)"", ""('method', 'implementation', 'class'): (method, is implemented by, subclass)"", ""('method', 'difference', 'method'): (method, is removed or renamed or has its signature changed from, method)"", ""('class', 'dependency', 'method'): (subclass, has, method)""]"
Here is a Java instanceof example illustrating the comparison of null against a class:,[]
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.","[""('class', 'implementation', 'interface'): (class, is interacted with through, interface)""]"
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",[]
The class does not need to implement (declare) the variables of an interface.,"[""('class', 'dependency', 'interface'): (class, does not need to implement, interface)"", ""('class', 'implementation', 'interface'): (class, does not need to implement, interface)""]"
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.","[""('class', 'implementation', 'interface'): (instance, implements, interface)"", ""('class', 'dependency', 'class'): (instance, relies on, class)"", ""('class', 'implementation', 'interface'): (class, implements, interface)""]"
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.","[""('class', 'dependency', 'interface'): (class, relies on, interface)"", ""('class', 'dependency', 'method'): (class, relies on, method)"", ""('interface', 'containment', 'method'): (interface, contains, method)"", ""('class', 'implementation', 'interface'): (class, implements, interface)"", ""('interface', 'dependency', 'method'): (interface, contains, method)""]"
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,"[""('class', 'implementation', 'interface'): (class, implements, interface)"", ""('class', 'dependency', 'method'): (class, requires, method)"", ""('interface', 'dependency', 'method'): (interface, defines, method)""]"
The implementation in the class takes precedence over any default implementations.,[]
"Since the return value of produce() is Object, it can return any Java object.",[]
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.","[""('method', 'creation', 'class'): (carproducer.produce, returns, object)""]"
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.","[""('class', 'implementation', 'interface'): (carproducer, implements, myproducer)"", ""('class', 'dependency', 'interface'): (carproducer, relies on, myproducer)"", ""('class', 'dependency', 'method'): (carproducer, relies on, produce)""]"
Now the result variable would end up with the value 12.5.,[]
The example above defines a method called writeText inside a class named MyClass.,"[""('class', 'implementation', 'method'): (myclass, contains, writetext)""]"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,[]
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,[]
Here is how you run the main class from a Java module JAR file:,[]
In Java nested classes are classes that are defined inside another class.,[]
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,[]
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","[""('class', 'implementation', 'interface'): (class, implementing, interface)""]"
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.","[""('class', 'containment', 'class'): (cache, contains, cacheentry)""]"
"If the classes A and B are located in the same Java package, there is no problem with the code above.",[]
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.",[]
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,"[""('class', 'dependency', 'class'): (java record, is a special kind of, java class)"", ""('class', 'similarity', 'class'): (java record, is a kind of, java class)"", ""('class', 'containment', 'class'): (java class, has, java record)""]"
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"[""('class', 'similarity', 'class'): (java record, can add instance methods like, java class)""]"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"[""('method', 'dependency', 'method'): (brand, is called by, brandaslowercase)""]"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.","[""('class', 'dependency', 'method'): (stringbuilder, relies on, append)"", ""('class', 'dependency', 'method'): (stringbuilder, relies on, tostring)""]"
You can search for substrings in Strings using the indexOf() method.,"[""('method', 'dependency', 'class'): (indexof, used in, string)"", ""('class', 'dependency', 'method'): (string, uses, indexof)""]"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,[]
The Java String class contains a method called trim() which can trim a string object.,"[""('method', 'implementation', 'class'): (trim, is implemented on, string)""]"
"If not, the default toString() method (inherited from the Object class) will get called.","[""('method', 'dependency', 'class'): (tostring, inherited from, object)""]"
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"[""('method', 'dependency', 'class'): (translateescapes, is part of, java)"", ""('class', 'dependency', 'class'): (string, is part of, java)""]"
When you create an instance of a class (an object) the object can have methods you can execute.,"[""('class', 'creation', 'class'): (class, can create an instance of, object)"", ""('class', 'containment', 'method'): (object, can have, method)"", ""('class', 'creation', 'class'): (class, can be used to create, object)""]"
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,[]
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.",[]
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.","[""('method', 'similarity', 'method'): (logrb, work like, log)"", ""('method', 'dependency', 'method'): (logrb, can be compared to, log)""]"
You can obtain the parent Logger of a given Logger using the getParent() method.,"[""('class', 'dependency', 'method'): (logger, uses, getparent)"", ""('class', 'dependency', 'class'): (logger, relies on, logger)"", ""('method', 'dependency', 'class'): (getparent, used by, logger)""]"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"[""('method', 'dependency', 'class'): (getparameters, returns parameters to be inserted into the message of, logrecord)"", ""('method', 'implementation', 'class'): (getparameters, returns parameters to be inserted into the message of, logrecord)""]"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"[""('method', 'dependency', 'class'): (getresourcebundle, returns, resourcebundle)"", ""('method', 'dependency', 'class'): (getresourcebundle, used by, logrecord)"", ""('class', 'containment', 'class'): (logrecord, uses, resourcebundle)""]"
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).",[]
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"[""('class', 'dependency', 'class'): (datagramsocket, relies on, datagrampacket)"", ""('class', 'implementation', 'class'): (datagramsocket, receives data into, datagrampacket)"", ""('class', 'dependency', 'method'): (datagramsocket, uses, receive)"", ""('class', 'implementation', 'method'): (datagrampacket, is used with, receive)""]"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"[""('class', 'containment', 'class'): (java.net, contains, url)"", ""('class', 'containment', 'class'): (java.net, contains, urlconnection)"", ""('class', 'similarity', 'class'): (url, is similar to, urlconnection)""]"
