The Collections reverse() method can reverse the elements in a Java List.,"(""[ Collections"", ""hasMethod"", ""reverse() ]""); (""[ reverse()"", ""operatesOn"", ""Java List ]"")"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"(""FileWriter"", ""has method"", ""flush()""); (""flush()"", ""is method of"", ""FileWriter""); (""FileWriter"", ""writes to"", ""file"")"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"(""FileWriter"", ""hasMethod"", ""flush()""); (""FileWriter"", ""methodCalls"", ""flush()""); (""flush()"", ""belongsTo"", ""FileWriter"")"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,"(""FileWriter"", ""hasMethod"", ""close()"")"
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"(""Java InputStream"", ""contains"", ""readAllBytes()""); (""readAllBytes()"", ""is part of"", ""Java InputStream""); (""Java"", ""has class"", ""InputStream""); (""InputStream"", ""has method"", ""readAllBytes()""); (""Java 9"", ""introduces"", ""readAllBytes()""); (""readAllBytes()"", ""introduced in"", ""Java 9"")"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"(""InputStream"", ""hasMethod"", ""readAllBytes()""); (""readAllBytes()"", ""belongsTo"", ""InputStream""); (""InputStream"", ""isLocatedIn"", ""java.io""); (""java.io"", ""containsClass"", ""InputStream""); (""InputStream"", ""reads"", ""byte"")"
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.",
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"(""InputStreamReader"", ""has method"", ""read()""); (""read()"", ""returns"", ""int"")"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"(""CharArrayWriter"", ""hasMethod"", ""close()"")"
"Like with FilterInputStream, I see no sensible purpose for this class.",
They make it somewhat easier to understand what the classes are targeting.,
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"(""PipedReader"", ""hasMethod"", ""read()""); (""read()"", ""returns"", ""int""); (""PipedReader"", ""belongsTo"", ""Java"")"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.",
Closing a Java StringReader can be done using the close() method like this:,"(""StringReader"", ""hasMethod"", ""close()""); (""close()"", ""belongsTo"", ""StringReader""); (""StringReader"", ""usesMethod"", ""close()""); (""Java"", ""usesClass"", ""StringReader""); (""StringReader"", ""isPartOf"", ""Java"")"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"(""OutputStream"", ""has method"", ""flush()""); (""flush()"", ""is part of"", ""OutputStream""); (""OutputStream"", ""writes to"", ""data destination""); (""flush()"", ""affects"", ""data destination""); (""OutputStream"", ""uses"", ""underlying data destination"")"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"(""OutputStreamWriter"", ""has method"", ""flush()""); (""flush()"", ""belongs to"", ""OutputStreamWriter""); (""OutputStreamWriter"", ""writes to"", ""data destination"")"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.",
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .",
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.",
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,"(""Java Reader"", ""has method"", ""skip()""); (""skip()"", ""used for"", ""skipping characters""); (""Java Reader"", ""uses"", ""skip()"")"
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"(""StreamTokenizer"", ""has method"", ""nextToken()"")"
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).",
You will normally use a Writer subclass rather than a Writer directly.,"(""Writer"", ""is a superclass of"", ""Writer subclass""); (""Writer subclass"", ""is a"", ""Writer"")"
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,"(""Java String"", ""passed to"", ""Class forName()""); (""Class forName()"", ""is the name of"", ""JDBC driver class""); (""JDBC driver class"", ""used by"", ""JDBC driver"")"
"By the way, imagine that the used Person class looks like this:",
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"(""JDBC Connection"", ""getMetaData"", ""DatabaseMetaData""); (""DatabaseMetaData"", ""created via"", ""JDBC Connection""); (""JDBC Connection"", ""has method"", ""getMetaData()"")"
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,"(""ResultSet"", ""returned by"", ""getColumns()""); (""getColumns()"", ""contains"", ""columns""); (""table"", ""has"", ""columns"")"
Before the first next() call the ResultSet is positioned before the first row.,"(""ResultSet"", ""is positioned before"", ""first row""); (""ResultSet"", ""has method"", ""next()""); (""ResultSet"", ""is positioned before"", ""first row""); (""First row"", ""is preceded by"", ""ResultSet""); (""Next call"", ""is made on"", ""ResultSet""); (""ResultSet"", ""has method"", ""next()"")"
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.",
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.",
The purpose of an abstract class is to function as a base for subclasses.,"(""abstract class"", ""is a base for"", ""subclasses"")"
"If a class has an abstract method, the whole class must be declared abstract.",
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,"(""URLProcessorBase"", ""is an example of"", ""Template Method"")"
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"(""SmartClock"", ""has method"", ""getTimeInSeconds()""); (""SmartClock"", ""is subclass of"", ""Clock""); (""Clock"", ""has variable"", ""time""); (""SmartClock"", ""accesses"", ""time""); (""getTimeInSeconds()"", ""accesses"", ""time"")"
The utility class is called Arrays and is located in the standard Java package java.util.,"(""Arrays"", ""isLocatedIn"", ""java.util"")"
The purpose of a constructor is to initialize the fields in the class.,"(""Constructor"", ""is used to initialize"", ""Fields""); (""Constructor"", ""is part of"", ""Class""); (""Class"", ""has"", ""Fields"")"
Now the isValid() method returns the value returned by the value.equals() method call.,"(""isValid()"", ""returns"", ""value.equals()""); (""isValid()"", ""calls"", ""value.equals()"")"
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,"(""getLicensePlate()"", ""located in"", ""Vehicle""); (""licensePlate"", ""located in"", ""Vehicle""); (""Vechile"", ""has method"", ""getLicensePlate()"")"
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.",
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"(""Car"", ""has method"", ""updateLicensePlate()""); (""updateLicensePlate()"", ""sets"", ""licensePlate""); (""Car"", ""has field"", ""licensePlate"")"
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.",
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.",
Here is a Java instanceof example illustrating the comparison of null against a class:,"(""Java"", ""has operator"", ""instanceof""); (""instanceof"", ""compares"", ""null""); (""null"", ""is compared to"", ""class"")"
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.",
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.",
The class does not need to implement (declare) the variables of an interface.,"(""class"", ""does not need to implement"", ""variables""); (""class"", ""implement"", ""interface""); (""interface"", ""has"", ""variables"")"
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.",
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,"(""Java compiler"", ""requires"", ""class""); (""class"", ""implements"", ""interface""); (""class"", ""implements"", ""method""); (""interface"", ""has"", ""method"")"
The implementation in the class takes precedence over any default implementations.,"(""Class"", ""takes precedence over"", ""Default Implementations""); (""Implementation"", ""is in"", ""Class""); (""Class"", ""has"", ""Implementation""); (""Default Implementations"", ""are overridden by"", ""Class"")"
"Since the return value of produce() is Object, it can return any Java object.",
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.",
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.",
Now the result variable would end up with the value 12.5.,
The example above defines a method called writeText inside a class named MyClass.,"(""MyClass"", ""contains"", ""writeText""); (""writeText"", ""is part of"", ""MyClass""); (""MyClass"", ""defines"", ""writeText"")"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,"(""javafx.graphics"", ""requires"", ""Java"")"
Here is how you run the main class from a Java module JAR file:,"(""main class"", ""run from"", ""Java module JAR file"")"
In Java nested classes are classes that are defined inside another class.,"(""Class"", ""contains"", ""Nested Class""); (""Java"", ""supports"", ""Nested Class""); (""Nested Class"", ""defined in"", ""Class"")"
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,"(""Outer class"", ""has"", ""Inner class""); (""Outer class"", ""creates instance of"", ""Inner class""); (""Inner class"", ""is instance of"", ""Outer class"")"
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.",
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.",
"If the classes A and B are located in the same Java package, there is no problem with the code above.",
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.",
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,"(""Java Record"", ""is a"", ""Java class""); (""Java Record"", ""has"", ""concise syntax""); (""Java class"", ""has"", ""concise syntax""); (""Java Record"", ""defines"", ""immutable data-only classes""); (""Java class"", ""can be"", ""immutable data-only classes"")"
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"(""Java Record"", ""has"", ""instance methods""); (""Java Record"", ""compared to"", ""Java class""); (""Java class"", ""has"", ""instance methods"")"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"(""brandAsLowerCase()"", ""calls"", ""brand()"")"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.",
You can search for substrings in Strings using the indexOf() method.,"(""Strings"", ""hasMethod"", ""indexOf()"")"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,"(""String"", ""has method"", ""lastIndexOf()""); (""String"", ""has a"", ""lastIndexOf()""); (""lastIndexOf()"", ""is a method of"", ""String"")"
The Java String class contains a method called trim() which can trim a string object.,"(""String"", ""contains"", ""trim()""); (""String"", ""has method"", ""trim()""); (""trim()"", ""is part of"", ""String"")"
"If not, the default toString() method (inherited from the Object class) will get called.",
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"(""Java String class"", ""got"", ""translateEscapes() method""); (""Java compiler"", ""translates"", ""escape codes""); (""translateEscapes() method"", ""translates"", ""escape codes""); (""Java String class"", ""has"", ""translateEscapes() method"")"
When you create an instance of a class (an object) the object can have methods you can execute.,"(""class"", ""has"", ""methods""); (""object"", ""is"", ""instance of class""); (""object"", ""can have"", ""methods""); (""methods"", ""can be executed by"", ""object"")"
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.",
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.",
You can obtain the parent Logger of a given Logger using the getParent() method.,"(""Logger"", ""has method"", ""getParent()""); (""Logger"", ""has parent"", ""Logger"")"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"(""LogRecord"", ""has method"", ""getParameters()""); (""getParameters()"", ""returns"", ""parameters"")"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"(""LogRecord"", ""uses"", ""ResourceBundle""); (""LogRecord"", ""has method"", ""getResourceBundle()""); (""getResourceBundle()"", ""returns"", ""ResourceBundle"")"
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).",
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"(""DatagramSocket"", ""has method"", ""receive()""); (""DatagramSocket"", ""uses"", ""DatagramPacket""); (""DatagramPacket"", ""is used by"", ""DatagramSocket""); (""DatagramSocket"", ""receives data into"", ""DatagramPacket"")"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"(""java.net"", ""contains"", ""URL""); (""java.net"", ""contains"", ""URLConnection"")"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,"(""Future"", ""has method"", ""isDone()""); (""Future"", ""returned by"", ""read()""); (""read()"", ""returns"", ""Future"")"
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"(""AsynchronousFileChannel"", ""has method"", ""write()"")"
The int returned by the read() method tells how many bytes were written into the Buffer.,"(""read()"", ""returns"", ""int""); (""Buffer"", ""written into"", ""bytes"")"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"(""FileChannel"", ""has method"", ""write()""); (""write()"", ""writes to"", ""FileChannel"")"
You can obtain the current position of the FileChannel object by calling the position() method.,"(""FileChannel"", ""has method"", ""position()"")"
The Files.createDirectory() method creates a new directory from a Path instance.,"(""Files"", ""creates"", ""directory""); (""Files.createDirectory()"", ""uses"", ""Path""); (""Path"", ""is used by"", ""Files.createDirectory()"")"
The Java NIO Files class also contains a function for moving files from one path to another.,"(""Java NIO"", ""contains"", ""Files class""); (""Files class"", ""contains"", ""function""); (""function"", ""used for"", ""moving files""); (""files"", ""moved from"", ""one path""); (""files"", ""moved to"", ""another path"")"
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"(""walkFileTree"", ""extends"", ""SimpleFileVisitor""); (""walkFileTree"", ""looks for"", ""README.txt""); (""SimpleFileVisitor"", ""is extended by"", ""walkFileTree"")"
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.",
"In many cases though, you can replace the use of the File class with use of the Path interface.",
The normalize() method of the Path interface can normalize a path.,"(""Path"", ""has method"", ""normalize()"")"
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.",
"You can also attach an object already while registering the Channel with the Selector, in the register() method.",
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,"(""class"", ""implements"", ""interface""); (""class"", ""declared"", ""interface"")"
All you need to do is to obtain a ClassLoader and call its loadClass() method.,"(""ClassLoader"", ""has method"", ""loadClass()"")"
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.",
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,"(""Class"", ""getDeclaredField"", ""String""); (""Class"", ""getDeclaredFields"", ""Field""); (""Class"", ""has method"", ""getDeclaredField""); (""Class"", ""has method"", ""getDeclaredFields"")"
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.",
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.",
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.",
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",
"For that, you need to use the find(), start() and end() methods.",
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.",
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.",
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,"(""Matcher"", ""has method"", ""replaceAll()""); (""Matcher"", ""has method"", ""replaceFirst()"")"
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,"(""Java"", ""has class"", ""Pattern"")"
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"(""GZIPInputStream"", ""has method"", ""close()"")"
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.",
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",
"In other words, as a call to the get() method on the HttpRequestCache singleton.",
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,"(""ScriptFactoryBuilder"", ""has method"", ""addFactories()""); (""addFactories()"", ""takes parameter"", ""InputStream""); (""addFactories()"", ""takes parameter"", ""String"")"
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().",
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.",
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"(""IResultSetProcessor"", ""has method"", ""getResult()""); (""IResultSetProcessor"", ""returns"", ""object""); (""getResult()"", ""returns"", ""object""); (""IResultSetProcessor"", ""uses"", ""getResult()"")"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.",
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,"(""CustomObjectMapperBase"", ""implements"", ""ICustomObjectMapper"")"
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"(""IObjectMapping"", ""hasMethod"", ""removeGetterMapping(String name)""); (""IObjectMapping"", ""hasMethod"", ""removeSetterMapping(String name)""); (""removeGetterMapping(String name)"", ""belongsTo"", ""IObjectMapping""); (""removeSetterMapping(String name)"", ""belongsTo"", ""IObjectMapping"")"
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().",
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"(""Predicate"", ""hasMethod"", ""and()""); (""and()"", ""usedTo"", ""combine""); (""combine"", ""relatesTo"", ""Predicate""); (""Predicate"", ""usedIn"", ""Java""); (""Java"", ""hasConcept"", ""functional composition""); (""functional composition"", ""involves"", ""Predicate""); (""Predicate"", ""hasMethod"", ""and()"")"
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.",
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"(""Collections"", ""hasMethod"", ""sort()""); (""sort()"", ""takesParameter"", ""Comparator""); (""Collections"", ""uses"", ""Comparator"")"
The call to the map() method of the Stream interface is a non-terminal operation.,"(""Stream"", ""has method"", ""map()""); (""map()"", ""is a"", ""non-terminal operation""); (""Stream"", ""performs"", ""non-terminal operation"")"
Only the first occurrence of this element will be included in the Stream returned by distinct().,"(""Stream"", ""returned by"", ""distinct()""); (""distinct()"", ""included in"", ""Stream""); (""Element"", ""included in"", ""Stream"")"
"The findFirst() method returns an Optional from which you can obtain the element, if present.",
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.",
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,"(""Comparator"", ""implementation used by"", ""max()""); (""max()"", ""method uses"", ""Comparator"")"
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"(""Optional"", ""contains"", ""value""); (""lambda expression"", ""passed to"", ""reduce() method""); (""reduce() method"", ""returned by"", ""lambda expression""); (""Optional"", ""contains value returned by"", ""reduce() method"")"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",
The value returned by write() is the number of bytes copied from the ByteBuffer.,"(""ByteBuffer"", ""hasMethod"", ""write()""); (""write()"", ""returns"", ""number of bytes"")"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"(""ring buffer"", ""uses"", ""fill count""); (""batch"", ""includes"", ""put() operations""); (""batch"", ""includes"", ""take() operations""); (""ring buffer"", ""includes"", ""batch put() operations""); (""ring buffer"", ""includes"", ""batch take() operations"")"
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.",
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.",
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"(""javax.servlet.http.HttpServlet"", ""is a"", ""base class""); (""javax.servlet.http.HttpServlet"", ""is more advanced than"", ""GenericServlet""); (""GenericServlet"", ""is shown in"", ""Simple Servlet example""); (""javax.servlet.http.HttpServlet"", ""is a base class for"", ""Simple Servlet example"")"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,"(""GenericServlet"", ""is extended by"", ""interface implementation""); (""HttpServlet"", ""is extended by"", ""interface implementation""); (""GenericServlet"", ""is alternative to"", ""HttpServlet"")"
Each test method usually tests a single method of the target class.,"(""test method"", ""tests"", ""method""); (""target class"", ""has"", ""method""); (""method"", ""is part of"", ""target class""); (""test method"", ""is related to"", ""target class"")"
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.",
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"(""MyIOUnit"", ""uses"", ""ByteArrayOutputStream""); (""MyIOUnit"", ""has method"", ""write()""); (""write()"", ""writes to"", ""OutputStream""); (""ByteArrayOutputStream"", ""is a type of"", ""OutputStream"")"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"(""StringReader"", ""used with"", ""unit tests""); (""StringWriter"", ""used with"", ""unit tests""); (""StringReader"", ""related to"", ""StringWriter"")"
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .",
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"(""BytesAllocatorManualDefrag"", ""has method"", ""defragment()"")"
The Bytes class represents a byte sequence allocated from a shared byte array.,"(""Bytes"", ""represents"", ""byte sequence""); (""Bytes"", ""allocated from"", ""shared byte array"")"
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.",
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.",
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,"(""RionObjectReader"", ""created via"", ""RionObjectReaderBuilder""); (""RionObjectReaderBuilder"", ""creates"", ""RionObjectReader"")"
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"(""RionObjectReader"", ""hasMethod"", ""readCyclic()""); (""RionObjectReader"", ""reads"", ""cyclic object graph""); (""readCyclic()"", ""reads"", ""RION""); (""RION"", ""isStoredIn"", ""byte array""); (""RionObjectReader"", ""reads"", ""byte array"")"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,"(""RionObjectWriter"", ""hasMethod"", ""writeAcyclic()""); (""RionObjectWriter"", ""writes"", ""acyclic object graph""); (""RionObjectWriter"", ""writesTo"", ""byte array""); (""writeAcyclic()"", ""returns"", ""RION""); (""RION"", ""isWrittenTo"", ""byte array""); (""RionObjectWriter.writeAcyclic()"", ""writes"", ""acyclic object graph"")"
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"(""RionReader"", ""hasMethod"", ""moveInto()""); (""RionReader"", ""hasMethod"", ""moveOutOf()"")"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:",
The StreamStorageFS class contains a method to read bytes from a stream block file.,"(""StreamStorageFS"", ""contains"", ""method to read bytes from a stream block file""); (""StreamStorageFS"", ""has method"", ""read bytes from a stream block file""); (""StreamStorageFS"", ""contains"", ""stream block file""); (""StreamStorageFS"", ""has method"", ""method to read bytes""); (""stream block file"", ""is read by"", ""StreamStorageFS""); (""method to read bytes from a stream block file"", ""is part of"", ""StreamStorageFS"")"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.",
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"(""StreamStorageRootFS"", ""has method"", ""getRootDirPath()"")"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.",
You can read the data stored in a Buffer using the many get...() methods.,"(""Buffer"", ""has methods"", ""get...()"")"
Notice the use of / as directory separator and the use of : as classpath entry separator.,
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.",
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"(""event bus"", ""has method"", ""send()""); (""event bus"", ""has method"", ""publish()"")"
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,"(""Verticle"", ""has"", ""start()""); (""Verticle"", ""has"", ""stop()""); (""Verticle"", ""is deployed by"", ""start()""); (""Verticle"", ""is undeployed by"", ""stop()"")"
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"(""addAll()"", ""takes"", ""Collection""); (""addAll()"", ""takes"", ""List""); (""addAll()"", ""takes"", ""Java Set"")"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"(""Thread"", ""execute"", ""unlock()""); (""Thread"", ""waiting in"", ""lock()""); (""Thread"", ""leaves"", ""synchronized block""); (""lock()"", ""called by"", ""Thread""); (""unlock()"", ""called by"", ""Thread"")"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"(""thread"", ""call"", ""wait()""); (""thread"", ""call"", ""notify()""); (""thread"", ""call"", ""notifyAll()""); (""wait()"", ""require"", ""lock""); (""notify()"", ""require"", ""lock""); (""notifyAll()"", ""require"", ""lock""); (""lock"", ""held by"", ""thread""); (""wait()"", ""called on"", ""object""); (""notify()"", ""called on"", ""object""); (""notifyAll()"", ""called on"", ""object"")"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.",
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"(""Java ThreadLocal"", ""has method"", ""get()""); (""Java ThreadLocal"", ""has method"", ""set()""); (""ThreadLocal"", ""is part of"", ""java.lang"")"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,"(""Map"", ""uses"", ""put()""); (""Map"", ""uses"", ""get()"")"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"(""Deque"", ""hasMethod"", ""pollLast()""); (""Deque"", ""hasMethod"", ""removeLast()""); (""removeLast()"", ""throwsExceptionWhen"", ""Deque.isEmpty""); (""Deque"", ""hasState"", ""isEmpty"")"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"(""tailSet"", ""works the same way as"", ""headSet""); (""tailSet"", ""returns"", ""elements""); (""headSet"", ""returns"", ""elements""); (""tailSet"", ""takes parameter"", ""element""); (""headSet"", ""takes parameter"", ""element"")"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.",
