The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'modification', 'class'): (collections.reverse(), reverse the elements, list)""]"
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.","[""('class', 'containment', 'class'): (bufferedreader, subclass of, reader)""]"
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.","[""('class', 'containment', 'method'): (bufferedreader, has a method, read())""]"
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"[""('class', 'containment', 'method'): (bufferedreader, includes, readline())""]"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"[""('class', 'collaboration', 'method'): (bufferedwriter, flushes data to, flush())""]"
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"[""('class', 'containment', 'method'): (bytearrayinputstream, sets an internal mark, mark())""]"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:","[""('class', 'containment', 'class'): (bytearrayoutputstream, is a subclass of, outputstream)"", ""('class', 'collaboration', 'method'): (bytearrayoutputstream, using the same write methods that, write)"", ""('class', 'collaboration', 'method'): (outputstream, using the same write methods that, write)""]"
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.","[""('class', 'containment', 'method'): (bytearrayoutputstream, includes, tobytearray())""]"
You can read a Java float from the DataInputStream using its readFloat() method.,"[""('class', 'collaboration', 'method'): (datainputstream, use, readfloat())""]"
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"[""('class', 'collaboration', 'method'): (datainputstream, use, readunsignedshort())""]"
You can read a Java long from the DataInputStream using its readLong() method.,"[""('class', 'collaboration', 'method'): (datainputstream, uses, readlong())""]"
"To rename (or move) a file, call the method renameTo() on the File class.","[""('class', 'modification', 'method'): (file, rename, renameto())""]"
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"[""('method', 'collaboration', 'method'): (file.list(), calling, file.listfiles())""]"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"[""('method', 'collaboration', 'method'): (file.list(), listing all files in a directory, file.listfiles())""]"
To write data to a Java FileOutputStream you can use its write() method.,"[""('class', 'collaboration', 'method'): (fileoutputstream, use, write())""]"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"[""('class', 'collaboration', 'method'): (fileoutputstream, use, write())""]"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"[""('class', 'collaboration', 'method'): (fileoutputstream, calling its close() method, close())""]"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"[""('class', 'conversion', 'class'): (fileoutputstream, convert to, outputstreamwriter)""]"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"[""('class', 'containment', 'method'): (filewriter, includes, flush())""]"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"[""('class', 'collaboration', 'method'): (filewriter, calling its flush() method, flush())""]"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,"[""('method', 'collaboration', 'class'): (close(), method call, filewriter)""]"
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"[""('class', 'containment', 'method'): (inputstream, contains, readallbytes())""]"
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"[""('class', 'containment', 'method'): (inputstream, reading all bytes from, readallbytes())""]"
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.","[""('class', 'collaboration', 'method'): (inputstream, supports, mark())"", ""('class', 'collaboration', 'method'): (inputstream, supports, reset())"", ""('class', 'collaboration', 'method'): (inputstream, override, marksupported())""]"
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"[""('class', 'containment', 'method'): (inputstreamreader, contains, read())""]"
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"[""('class', 'collaboration', 'method'): (chararraywriter, use, close())""]"
"Like with FilterInputStream, I see no sensible purpose for this class.",[]
They make it somewhat easier to understand what the classes are targeting.,[]
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"[""('class', 'containment', 'method'): (pipedreader, contains, read())""]"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.","[""('class', 'collaboration', 'method'): (printwriter, calls the advanced printf() method, printf())""]"
Closing a Java StringReader can be done using the close() method like this:,"[""('class', 'collaboration', 'method'): (stringreader, can be done using, close())""]"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"[""('class', 'containment', 'method'): (outputstream, includes, flush())""]"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"[""('class', 'collaboration', 'method'): (outputstreamwriter, flushes data to, flush())""]"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.","[""('class', 'collaboration', 'method'): (pushbackinputstream, returned first from, read())""]"
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .","[""('class', 'collaboration', 'method'): (pushbackinputstream, read bytes via, read())"", ""('class', 'similarity', 'class'): (pushbackinputstream, just like, inputstream)""]"
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.","[""('method', 'collaboration', 'class'): (write(), advance the file position, randomaccessfile)""]"
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,"[""('class', 'containment', 'method'): (reader, has a method named, skip())""]"
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"[""('class', 'containment', 'method'): (streamtokenizer, includes, nexttoken())""]"
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).","[""('class', 'creation', 'class'): (system.in, initialized by the java runtime, system.out)"", ""('class', 'creation', 'class'): (system.in, initialized by the java runtime, system.err)"", ""('class', 'creation', 'class'): (system.out, initialized by the java runtime, system.err)""]"
You will normally use a Writer subclass rather than a Writer directly.,"[""('class', 'replacement', 'class'): (writer, use a writer subclass rather than, writer)""]"
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,[]
"By the way, imagine that the used Person class looks like this:",[]
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"[""('interface', 'creation', 'interface'): (connection, creating, databasemetadata)""]"
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,"[""('class', 'containment', 'method'): (resultset, contains, getcolumns())""]"
Before the first next() call the ResultSet is positioned before the first row.,"[""('class', 'access', 'method'): (resultset, positioned before, next())""]"
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.","[""('class', 'collaboration', 'method'): (resultset, use, insertrow())""]"
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.","[""('method', 'collaboration', 'class'): (movetoinsertrow(), signal, resultset)""]"
The purpose of an abstract class is to function as a base for subclasses.,"[""('class', 'containment', 'class'): (abstract class, function as a base for, subclasses)""]"
"If a class has an abstract method, the whole class must be declared abstract.","[""('class', 'containment', 'method'): (class, has, method)""]"
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,"[""('class', 'implementation', 'method'): (urlprocessorbase, example of, template method)""]"
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"[""('class', 'containment', 'method'): (smartclock, has a method called, gettimeinseconds())"", ""('method', 'access', 'class'): (gettimeinseconds(), accesses the time variable of, clock)""]"
The utility class is called Arrays and is located in the standard Java package java.util.,"[""('package', 'containment', 'class'): (java.util, includes, arrays)""]"
The purpose of a constructor is to initialize the fields in the class.,"[""('method', 'creation', 'class'): (constructor, initialize, class)""]"
Now the isValid() method returns the value returned by the value.equals() method call.,"[""('method', 'collaboration', 'method'): (isvalid(), returns the value from, value.equals())""]"
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,"[""('class', 'containment', 'method'): (vehicle, includes, getlicenseplate())""]"
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.","[""('class', 'creation', 'class'): (truck, instantiation, vehicle)"", ""('class', 'difference', 'class'): (vehicle, distinction, car)""]"
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"[""('method', 'collaboration', 'class'): (updatelicenseplate(), sets the license plate value on, car)""]"
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.","[""('method', 'collaboration', 'class'): (getlicenseplate(), returns the value of the licenseplate field in, vehicle)""]"
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.",[]
Here is a Java instanceof example illustrating the comparison of null against a class:,[]
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.","[""('class', 'difference', 'interface'): (class, compared against, interface)""]"
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.","[""('interface', 'containment', 'method'): (java interface, contain, method signatures)"", ""('interface', 'containment', 'class'): (java interface, contain, fields)"", ""('interface', 'difference', 'class'): (java interface, is a bit like, java class)""]"
The class does not need to implement (declare) the variables of an interface.,"[""('class', 'implementation', 'interface'): (class, does not need to implement, interface)""]"
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.","[""('class', 'creation', 'interface'): (class, create an instance of, interface)"", ""('class', 'implementation', 'interface'): (class, implements, interface)""]"
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.","[""('interface', 'containment', 'method'): (interface, contain methods with the same signature, method)"", ""('class', 'implementation', 'interface'): (class, implement multiple interfaces, interface)""]"
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,"[""('class', 'implementation', 'interface'): (class, implements, interface)"", ""('class', 'implementation', 'method'): (class, implements, method)""]"
The implementation in the class takes precedence over any default implementations.,[]
"Since the return value of produce() is Object, it can return any Java object.","[""('method', 'containment', 'class'): (produce(), return, object)""]"
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.","[""('method', 'creation', 'class'): (produce(), generation, object)"", ""('class', 'conversion', 'class'): (object, cast, car)""]"
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.","[""('class', 'creation', 'class'): (carproducer, generation, car)"", ""('class', 'implementation', 'interface'): (carproducer, execution, myproducer)"", ""('method', 'collaboration', 'class'): (produce(), provision, car)"", ""('method', 'collaboration', 'interface'): (produce(), provision, myproducer)""]"
Now the result variable would end up with the value 12.5.,[]
The example above defines a method called writeText inside a class named MyClass.,"[""('class', 'containment', 'method'): (myclass, defines a method called, writetext)""]"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,[]
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,[]
Here is how you run the main class from a Java module JAR file:,[]
In Java nested classes are classes that are defined inside another class.,"[""('class', 'containment', 'class'): (nested classes, are defined inside, classes)""]"
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,[]
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","[""('class', 'similarity', 'interface'): (class, similar to, interface)"", ""('class', 'implementation', 'interface'): (class, implementing, interface)""]"
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.","[""('class', 'containment', 'class'): (cache, includes, cacheentry)""]"
"If the classes A and B are located in the same Java package, there is no problem with the code above.","[""('class', 'containment', 'class'): (a, located in the same package as, b)"", ""('class', 'containment', 'class'): (b, located in the same package as, a)""]"
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.","[""('package', 'containment', 'class'): (package, includes, class)""]"
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,"[""('package', 'containment', 'class'): (java, is a special kind of, record)""]"
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"[""('method', 'collaboration', 'class'): (instance method, add to, java record)"", ""('method', 'collaboration', 'class'): (instance method, add to, java class)"", ""('class', 'similarity', 'class'): (java record, just like, java class)""]"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"[""('method', 'collaboration', 'method'): (brandaslowercase(), calls, brand())""]"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.","[""('class', 'creation', 'class'): (stringbuilder, is created, string)"", ""('class', 'collaboration', 'class'): (stringbuilder, passing along to constructor, string)"", ""('class', 'collaboration', 'method'): (stringbuilder, append method, append())"", ""('class', 'collaboration', 'method'): (stringbuilder, calling method, tostring())""]"
You can search for substrings in Strings using the indexOf() method.,"[""('method', 'collaboration', 'class'): (indexof(), search for substrings, strings)""]"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,"[""('class', 'containment', 'method'): (string, has, lastindexof())""]"
The Java String class contains a method called trim() which can trim a string object.,"[""('class', 'containment', 'method'): (string, contains, trim())""]"
"If not, the default toString() method (inherited from the Object class) will get called.","[""('method', 'containment', 'class'): (tostring(), inherited from, object)""]"
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"[""('class', 'containment', 'method'): (string, includes method, translateescapes())""]"
When you create an instance of a class (an object) the object can have methods you can execute.,"[""('class', 'containment', 'method'): (class, have, method)""]"
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,[]
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.","[""('class', 'implementation', 'method'): (intellij idea, run, run)""]"
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.","[""('method', 'similarity', 'method'): (logrb(), work like, log())""]"
You can obtain the parent Logger of a given Logger using the getParent() method.,"[""('method', 'access', 'class'): (getparent(), obtain, logger)""]"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"[""('method', 'containment', 'class'): (getparameters(), returns the parameters to be inserted into the message of, logrecord)""]"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"[""('method', 'containment', 'class'): (getresourcebundle(), returns, resourcebundle)"", ""('method', 'containment', 'class'): (getresourcebundle(), localize the message of, logrecord)""]"
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).","[""('class', 'difference', 'class'): (log4j, does not cover, slf4j)"", ""('class', 'difference', 'class'): (log4j, does not cover, apache commons logging)"", ""('class', 'difference', 'class'): (log4j, does not cover, logback)"", ""('class', 'difference', 'class'): (slf4j, does not cover, apache commons logging)"", ""('class', 'difference', 'class'): (slf4j, does not cover, logback)"", ""('class', 'difference', 'class'): (apache commons logging, does not cover, logback)""]"
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"[""('class', 'creation', 'class'): (datagramsocket, creating, datagrampacket)"", ""('class', 'collaboration', 'class'): (datagramsocket, receiving data into, datagrampacket)"", ""('class', 'collaboration', 'method'): (datagramsocket, receive() method, receive())""]"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"[""('package', 'containment', 'class'): (java.net, contains, url)"", ""('package', 'containment', 'class'): (java.net, contains, urlconnection)""]"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,"[""('method', 'collaboration', 'class'): (isdone(), method of, future)"", ""('method', 'collaboration', 'class'): (read(), returned by, future)""]"
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"[""('class', 'collaboration', 'method'): (asynchronousfilechannel, call, write())""]"
The int returned by the read() method tells how many bytes were written into the Buffer.,"[""('method', 'collaboration', 'class'): (read(), written into, buffer)""]"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"[""('method', 'collaboration', 'class'): (write(), writes to, filechannel)""]"
You can obtain the current position of the FileChannel object by calling the position() method.,"[""('class', 'access', 'method'): (filechannel, obtain the current position, position())""]"
The Files.createDirectory() method creates a new directory from a Path instance.,"[""('method', 'creation', 'class'): (files.createdirectory(), creates, path)""]"
The Java NIO Files class also contains a function for moving files from one path to another.,"[""('class', 'containment', 'method'): (files, moving, move)""]"
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"[""('method', 'implementation', 'class'): (walkfiletree, extends, simplefilevisitor)""]"
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.","[""('method', 'collaboration', 'method'): (visitfile(), use, postvisitdirectory())""]"
"In many cases though, you can replace the use of the File class with use of the Path interface.","[""('class', 'replacement', 'interface'): (file, replace the use of, path)""]"
The normalize() method of the Path interface can normalize a path.,"[""('method', 'collaboration', 'interface'): (normalize(), method of, path)""]"
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.","[""('class', 'collaboration', 'class'): (channel, register with, selector)"", ""('method', 'creation', 'class'): (register(), returns, selectionkey)""]"
"You can also attach an object already while registering the Channel with the Selector, in the register() method.","[""('method', 'dependency', 'class'): (register(), attach an object, channel)"", ""('method', 'dependency', 'class'): (register(), with the selector, selector)""]"
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,"[""('class', 'implementation', 'interface'): (class, declared implemented by, interfaces)""]"
All you need to do is to obtain a ClassLoader and call its loadClass() method.,"[""('class', 'collaboration', 'method'): (classloader, obtain, loadclass())""]"
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.","[""('class', 'collaboration', 'interface'): (myaction, calls methods on, imyfactory)""]"
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.","[""('method', 'verification', 'method'): (getters, check if each method is, methods)"", ""('method', 'verification', 'method'): (setters, check if each method is, methods)"", ""('method', 'collaboration', 'class'): (methods, scan through all, class)""]"
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,"[""('method', 'collaboration', 'method'): (class.getdeclaredfield, call, class.getdeclaredfields)""]"
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.","[""('class', 'modification', 'method'): (field, turn off the access checks, setaccessible())""]"
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.","[""('method', 'difference', 'method'): (class.getmethod, return public methods, class.getmethods)""]"
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.","[""('class', 'containment', 'class'): (reflection, work with, arrays)"", ""('class', 'containment', 'class'): (reflection, work with, annotations)"", ""('class', 'containment', 'class'): (reflection, work with, generics)"", ""('class', 'containment', 'class'): (reflection, work with, dynamic proxies)"", ""('class', 'containment', 'method'): (reflection, do, class loading)"", ""('class', 'containment', 'method'): (reflection, do, reloading)""]"
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.","[""('class', 'containment', 'class'): (string array, element type, string)""]"
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",[]
"For that, you need to use the find(), start() and end() methods.","[""('method', 'collaboration', 'method'): (find(), use, start())"", ""('method', 'collaboration', 'method'): (find(), use, end())"", ""('method', 'collaboration', 'method'): (start(), use, end())""]"
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.","[""('method', 'difference', 'method'): (lookingat(), return true if matches beginning, matches())"", ""('method', 'difference', 'method'): (matches(), return false if not whole text, lookingat())""]"
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.","[""('method', 'collaboration', 'class'): (find(), matching occurrences, matcher)""]"
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,"[""('method', 'replacement', 'method'): (replaceall(), substitute, replacefirst())""]"
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",[]
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"[""('class', 'collaboration', 'method'): (gzipinputstream, use, close())""]"
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.","[""('method', 'collaboration', 'method'): (bo.checkpersonisvalid(), use, dao.readperson())""]"
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.","[""('method', 'collaboration', 'method'): (max(), call to the static method, max())""]"
"In other words, as a call to the get() method on the HttpRequestCache singleton.","[""('method', 'collaboration', 'class'): (get(), call to, httprequestcache)""]"
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,"[""('class', 'containment', 'method'): (scriptfactorybuilder, has a method, addfactories())"", ""('method', 'collaboration', 'class'): (addfactories(), takes as parameter, inputstream)""]"
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().","[""('interface', 'difference', 'method'): (httpservletrequest, not obtained by, threadlocal.get())"", ""('interface', 'difference', 'method'): (httpservletresponse, not obtained by, threadlocal.get())""]"
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.","[""('interface', 'containment', 'class'): (iobjectmappingkey, contain more information about, class)""]"
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"[""('interface', 'containment', 'method'): (iresultsetprocessor, obtained from, getresult())""]"
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","[""('method', 'collaboration', 'method'): (hashcode(), speeds up object mapping cache lookups, equals())""]"
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,"[""('class', 'implementation', 'interface'): (customobjectmapperbase, is an empty implementation of, icustomobjectmapper)""]"
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"[""('method', 'collaboration', 'method'): (iobjectmapping.removegettermapping, use or provision of methods, iobjectmapping.removesettermapping)""]"
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().","[""('method', 'collaboration', 'method'): (dofirst(), calling, dolast())""]"
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"[""('method', 'collaboration', 'interface'): (and(), combine, predicate)""]"
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.","[""('method', 'collaboration', 'class'): (compose(), composes a new function instance from, function)""]"
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"[""('method', 'collaboration', 'interface'): (collections.sort(), takes, comparator)""]"
The call to the map() method of the Stream interface is a non-terminal operation.,"[""('interface', 'containment', 'method'): (stream, includes, map())""]"
Only the first occurrence of this element will be included in the Stream returned by distinct().,"[""('method', 'containment', 'class'): (distinct(), includes, stream)""]"
"The findFirst() method returns an Optional from which you can obtain the element, if present.","[""('method', 'containment', 'class'): (findfirst(), returns, optional)""]"
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.","[""('method', 'collaboration', 'interface'): (stream.foreach(), applies, java.util.function.consumer)""]"
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,"[""('interface', 'dependency', 'method'): (comparator, is determined by, max())""]"
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"[""('class', 'containment', 'method'): (optional, contains, reduce())""]"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",[]
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)","[""('class', 'containment', 'class'): (chunk, specify fonts for, phrase)"", ""('class', 'containment', 'class'): (chunk, specify fonts for, paragraph)"", ""('class', 'containment', 'class'): (phrase, specify fonts for, paragraph)""]"
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.","[""('class', 'collaboration', 'method'): (chunk, use, settextrise())""]"
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.","[""('class', 'collaboration', 'method'): (chunk, use, setunderline())""]"
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.","[""('method', 'creation', 'class'): (readmydata(), creation_decision, mydata)""]"
The value returned by write() is the number of bytes copied from the ByteBuffer.,"[""('method', 'collaboration', 'class'): (write(), copied from, bytebuffer)""]"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"[""('method', 'collaboration', 'method'): (put(), uses, take())""]"
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.","[""('method', 'collaboration', 'method'): (put(), use, take())""]"
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.","[""('class', 'collaboration', 'method'): (blackhole, calling consume() on, consume())""]"
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"[""('class', 'difference', 'class'): (javax.servlet.http.httpservlet, is a slightly more advanced base class than, javax.servlet.genericservlet)""]"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,"[""('class', 'implementation', 'interface'): (genericservlet, extend, interface)"", ""('class', 'implementation', 'interface'): (httpservlet, extend, interface)""]"
Each test method usually tests a single method of the target class.,"[""('method', 'containment', 'class'): (method, tests, class)""]"
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.","[""('method', 'access', 'class'): (method, accessible to, classes)"", ""('method', 'access', 'class'): (method, accessible to, subclasses)"", ""('method', 'access', 'class'): (field, accessible to, classes)"", ""('method', 'access', 'class'): (field, accessible to, subclasses)""]"
"When your business logic class is separated from the boundary class, you can test the business logic class separately.",[]
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"[""('class', 'containment', 'class'): (bytearrayoutputstream, collect the data written to, outputstream)"", ""('class', 'collaboration', 'method'): (outputstream, passed to, myiounit.write())""]"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"[""('class', 'collaboration', 'class'): (stringreader, use, stringwriter)""]"
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .","[""('class', 'containment', 'class'): (objectpool, obtained_from, bytes)""]"
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"[""('method', 'collaboration', 'class'): (defragment(), use, bytesallocatormanualdefrag)""]"
The Bytes class represents a byte sequence allocated from a shared byte array.,"[""('class', 'containment', 'class'): (bytes, represents a byte sequence allocated from, byte array)""]"
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.","[""('class', 'containment', 'class'): (serverbootstrap, added to, channelinitializer)"", ""('class', 'collaboration', 'method'): (channelinitializer, added to, childhandler())""]"
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.","[""('class', 'collaboration', 'method'): (channelfuture, calling, sync())""]"
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,"[""('class', 'creation', 'class'): (rionobjectreaderbuilder, create an instance of, rionobjectreader)""]"
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"[""('class', 'containment', 'method'): (rionobjectreader, includes, readcyclic())""]"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,"[""('class', 'collaboration', 'method'): (rionobjectwriter, can write, writeacyclic())""]"
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"[""('method', 'collaboration', 'method'): (rionreader.moveinto(), use, rionreader.moveoutof())""]"
