The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, reverse the elements of, list)', 'dependency: (reverse, method requires, list)']","[""('class', 'modification', 'class'): (collections, reverse the elements of, list)""]"
The java.util.TimeZone class is used in conjunction with the java.util.Calendar class.,"['collaboration: (java.util.timezone, used in conjunction with, java.util.calendar)']","[""('class', 'collaboration', 'class'): (java.util.timezone, used in conjunction with, java.util.calendar)""]"
As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"['exception: (converdata, throwing, badnumberexception)']",[]
As you can see the readNumberFromUrl() method now only declares throwing ApplicationException.,"['exception: (readnumberfromurl(), declares throwing, applicationexception)']",[]
"In the example with FileNotFoundException, if you catch IOException which is the superclass of FileNotFoundException, you will also catch FileNotFoundException.","['inheritance: (filenotfoundexception, superclass of, ioexception)']",[]
"If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.","['exception: (close(), is_thrown_as, ioexception)']",[]
The Throwable class has a method named addSuppressed() which takes a Throwable object as parameter.,"['containment: (throwable, has a method, addsuppressed())']",[]
The applyPattern() method simply applies a new pattern to the DecimalFormat instance as if it were created with that pattern.,"['modification: (applypattern(), applies a new pattern to, decimalformat)']","[""('method', 'modification', 'class'): (applypattern(), applies a new pattern to, decimalformat)""]"
The applyLocalizedPattern() does the same as applyPattern() except it interpretes the characters in the pattern according to the Locale the DecimalFormat was created with.,"['equivalence: (applylocalizedpattern, interprets pattern similarly to, applypattern)', 'dependency: (applylocalizedpattern, depends on locale of, decimalformat)', 'dependency: (applypattern, depends on locale of, decimalformat)']","[""('method', 'equivalence', 'method'): (applylocalizedpattern, interprets pattern similarly to, applypattern)""]"
"To sort a collection of strings according to the rules of a certain Locale, you use a java.text.Collator instance created for that specific Locale.","['creation: (java.text.collator, is created for, java.util.locale)']",[]
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"['creation: (locale.forlanguagetag(), create_instance, locale)']","[""('method', 'creation', 'class'): (locale.forlanguagetag(), create_instance, locale)""]"
Finally you can access the localized values in the ResourceBundle via its different getString() and getObject() etc.,"['containment: (getstring(), access, resourcebundle)', 'containment: (getobject(), access, resourcebundle)']","[""('method', 'containment', 'class'): (getstring(), access, resourcebundle)"", ""('method', 'containment', 'class'): (getobject(), access, resourcebundle)""]"
For this example to work you should put a standard Java property file named MyBundle.properties in a Java package named i18n.,"['containment: (i18n, named, mybundle.properties)']",[]
Once you have created a SimpleDateFormat instance you can format dates using its format() method.,"['dependency: (simpledateformat, requires usage of, format())']","[""('class', 'dependency', 'method'): (simpledateformat, requires usage of, format())""]"
The Date instance passed to the format() method is a java.util.Date instance.,"['dependency: (format(), passed to, java.util.date)']",[]
"The Java SimpleDateFormat class is also capable of formatting a Date object into a StringBuffer, instead of returning an individual String with the date formatted.","['conversion: (simpledateformat, formatting, date)', 'conversion: (simpledateformat, formatting, stringbuffer)']","[""('class', 'conversion', 'class'): (simpledateformat, formatting, date)"", ""('class', 'conversion', 'class'): (simpledateformat, formatting, stringbuffer)""]"
You can parse a String into a java.util.Date instance using the parse() method of the SimpleDateFormat instance.,"['conversion: (java.text.simpledateformat, parses, java.util.date)', 'dependency: (java.util.date, requires, parse())', 'containment: (java.text.simpledateformat, contains, parse())']","[""('class', 'conversion', 'class'): (java.text.simpledateformat, parses, java.util.date)"", ""('class', 'dependency', 'method'): (java.util.date, requires, parse())""]"
You can set the time zone of a SimpleDateFormat using its setTimeZone() method.,"['modification: (simpledateformat, set time zone, settimezone())']","[""('class', 'modification', 'method'): (simpledateformat, set time zone, settimezone())""]"
"In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not, but the BufferedInputStream supports them.","['containment: (bufferedinputstream, supports_features_for, inputstream)']","[""('class', 'containment', 'class'): (bufferedinputstream, supports_features_for, inputstream)""]"
"After that, the while loop exits, and the BufferedInputStream close() method is called.","['modification: (bufferedinputstream, method_called, close())']","[""('class', 'modification', 'method'): (bufferedinputstream, method_called, close())""]"
"The setSource() method actually returns a reference to the ReusableBufferedInputStream, so you can actually create a ReusableBufferedInputStream and set the source in a single instruction:","['return: (setsource(), returns_reference_to, reusablebufferedinputstream)']","[""('method', 'return', 'class'): (setsource(), returns_reference_to, reusablebufferedinputstream)""]"
To write data to a Java BufferedOutputStream you can use its write() method.,"['dependency: (bufferedoutputstream, requires, write())']","[""('class', 'dependency', 'method'): (bufferedoutputstream, requires, write())""]"
If you want to make sure that all written data is written to disk without having to close the BufferedOutputStream you can call its flush() method.,"['dependency: (bufferedoutputstream, requires, flush())']","[""('class', 'dependency', 'method'): (bufferedoutputstream, requires, flush())""]"
"Once the try block is exited, the close() method of the BufferedOutputStream is called automatically, because the BufferedOutputStream was declared inside the parentheses of the try block.","['dependency: (bufferedoutputstream, requires, close())']","[""('class', 'dependency', 'method'): (bufferedoutputstream, requires, close())""]"
"The Java BufferedReader class is a subclass of the Java Reader class, so you can use a BufferedReader anywhere a Reader is required.","['inheritance: (bufferedreader, is a subclass of, reader)', 'dependency: (bufferedreader, can be used anywhere a, reader)']","[""('class', 'dependency', 'class'): (bufferedreader, can be used anywhere a, reader)""]"
"The Java BufferedReader class also has a read() method that takes a char array as parameter, as well as a start offset and length.","['dependency: (bufferedreader, has a method named, read())', 'containment: (bufferedreader, includes a method for handling, char array)']","[""('class', 'dependency', 'method'): (bufferedreader, has a method named, read())""]"
The Java BufferedReader has a special read method named readLine() which reads a full line of text from the BufferedReader's internal buffer.,"['containment: (bufferedreader, internal buffer includes, readline())', 'dependency: (bufferedreader, relies on special read method, readline())', 'traversal: (bufferedreader, facilitates reading a full line of text using, readline())']","[""('class', 'dependency', 'method'): (bufferedreader, relies on special read method, readline())""]"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"['dependency: (flush(), requires data written, bufferedwriter)']",[]
The mark() method of the ByteArrayInputStream class sets an internal mark at the current byte position - meaning right after the previous byte read.,"['modification: (bytearrayinputstream, sets an internal mark, mark())']","[""('class', 'modification', 'method'): (bytearrayinputstream, sets an internal mark, mark())""]"
"Since the Java ByteArrayOutputStream class is a subclass of the Java OutputStream class, you write bytes to it using the same write methods that OutputStream has:","['inheritance: (bytearrayoutputstream, is a subclass of, outputstream)', 'equivalence: (bytearrayoutputstream, using the same write methods as, write)', 'dependency: (outputstream, using the same write methods as, write)']","[""('class', 'equivalence', 'method'): (bytearrayoutputstream, using the same write methods as, write)"", ""('class', 'dependency', 'method'): (outputstream, using the same write methods as, write)""]"
"Once you have finished writing to the ByteArrayOutputStream you can obtain all the bytes written as a Java byte array, using the ByteArrayOutputStream toByteArray() method.","['conversion: (bytearrayoutputstream, obtain as byte array, tobytearray())', 'containment: (bytearrayoutputstream, inclusion of bytes written, tobytearray())']",[]
You can read a Java float from the DataInputStream using its readFloat() method.,"['containment: (datainputstream, using readfloat(), readfloat())']",[]
You can read a Java unsigned short (only positive values) from the DataInputStream using its readUnsignedShort() method.,"['containment: (datainputstream, includes, readunsignedshort())']",[]
You can read a Java long from the DataInputStream using its readLong() method.,"['containment: (datainputstream, consists_of, readlong())']",[]
"To rename (or move) a file, call the method renameTo() on the File class.","['modification: (renameto(), rename or move, file)']","[""('method', 'modification', 'class'): (renameto(), rename or move, file)""]"
You can obtain a list of all the files in a directory by calling either the Java File list() method or the listFiles() method.,"['equivalence: (list(), alternate_with, listfiles())']","[""('method', 'equivalence', 'method'): (list(), alternate_with, listfiles())""]"
Here is an example of listing all files in a directory via the Java File list() and listFiles() methods:,"['equivalence: (list(), alternate_method, listfiles())']","[""('method', 'equivalence', 'method'): (list(), alternate_method, listfiles())""]"
To write data to a Java FileOutputStream you can use its write() method.,"['dependency: (fileoutputstream, use, write())']","[""('class', 'dependency', 'method'): (fileoutputstream, use, write())""]"
Here is an example of writing data to a Java FileOutputStream using its write() method:,"['dependency: (fileoutputstream, requires use of, write())']","[""('class', 'dependency', 'method'): (fileoutputstream, requires use of, write())""]"
Here is an example of closing a Java FileOutputStream by calling its close() method:,"['modification: (fileoutputstream, closing by calling its close() method, close())']","[""('class', 'modification', 'method'): (fileoutputstream, closing by calling its close() method, close())""]"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class.,"['conversion: (fileoutputstream, convert_to, outputstreamwriter)']","[""('class', 'conversion', 'class'): (fileoutputstream, convert_to, outputstreamwriter)""]"
The Java FileWriter's flush() method flushes all data written to the FileWriter to the underlying file.,"['modification: (filewriter, flushes data to underlying file, flush())']","[""('class', 'modification', 'method'): (filewriter, flushes data to underlying file, flush())""]"
Here is an example of flushing data written to a Java FileWriter by calling its flush() method:,"['dependency: (filewriter, requires_flush_method_for_flushing, flush())']","[""('class', 'dependency', 'method'): (filewriter, requires_flush_method_for_flushing, flush())""]"
Notice how there is no longer any explicit close() method call to the FileWriter instance.,"['dependency: (close(), requires usage of, filewriter)']",[]
The Java InputStream class contains a method called readAllBytes() (since Java 9).,"['containment: (inputstream, contains_method, readallbytes())']",[]
Here is an example of reading all bytes from a Java InputStream via readAllBytes():,"['containment: (inputstream, includes, readallbytes())']",[]
"If an InputStream subclass supports the mark() and reset() methods, then that subclass should override the markSupported() to return true.","['dependency: (inputstream, supports, mark())', 'dependency: (inputstream, supports, reset())', 'dependency: (inputstream, override, marksupported())', 'dependency: (inputstream, return, true)']","[""('class', 'dependency', 'method'): (inputstream, supports, mark())"", ""('class', 'dependency', 'method'): (inputstream, supports, reset())"", ""('class', 'dependency', 'method'): (inputstream, override, marksupported())""]"
The read() method of an InputStreamReader returns an int which contains the char value of the char read.,"['return: (inputstreamreader, returns, read())']",[]
Notice how there is no longer any explicit close() method call to the CharArrayWriter instance.,"['exception: (close(), no longer any explicit call to, chararraywriter)']",[]
"Like with FilterInputStream, I see no sensible purpose for this class.",,[]
They make it somewhat easier to understand what the classes are targeting.,,[]
The read() method of a Java PipedReader returns an int which contains the char value of the character read.,"['return: (read(), returns, pipedreader)']","[""('method', 'return', 'class'): (read(), returns, pipedreader)""]"
"Third, the example calls the advanced printf() method of the PrintWriter which can insert formatted numbers into a text string.","['containment: (printwriter, method, printf())']",[]
Closing a Java StringReader can be done using the close() method like this:,"['modification: (stringreader, can be closed using, close())']","[""('class', 'modification', 'method'): (stringreader, can be closed using, close())""]"
The Java OutputStream's flush() method flushes all data written to the OutputStream to the underlying data destination.,"['dependency: (outputstream, flushes, flush())', 'containment: (outputstream, includes, outputstream)', 'collaboration: (flush(), writes data to, outputstream)']","[""('class', 'dependency', 'method'): (outputstream, flushes, flush())"", ""('class', 'containment', 'class'): (outputstream, includes, outputstream)""]"
The Java OutputStreamWriter's flush() method flushes all data written to the OutputStreamWriter to the underlying data destination.,"['dependency: (outputstreamwriter, depends on flushing data to, flush())']","[""('class', 'dependency', 'method'): (outputstreamwriter, depends on flushing data to, flush())""]"
"If you push back multiple bytes into the PushbackInputStream, the latest byte pushed back will be returned first from read(), just like on a stack.","['dependency: (pushbackinputstream, requires order of pushback, read())', 'return: (read(), retrieves latest byte pushed back, pushbackinputstream)']","[""('class', 'dependency', 'method'): (pushbackinputstream, requires order of pushback, read())"", ""('method', 'return', 'class'): (read(), retrieves latest byte pushed back, pushbackinputstream)""]"
"You read bytes from the Java PushbackInputStream via its read() method, just like you do from a regular InputStream .","['traversal: (pushbackinputstream, read bytes via, read())', 'equivalence: (pushbackinputstream, just like, inputstream)']","[""('class', 'equivalence', 'class'): (pushbackinputstream, just like, inputstream)""]"
"Remember, calling this write() method will advance the file position of the RandomAccessFile by 1.","['modification: (write(), advance the file position, randomaccessfile)']","[""('method', 'modification', 'class'): (write(), advance the file position, randomaccessfile)""]"
The Java Reader class has a method named skip() which can be used to skip over a number of characters in the input that you do not want to read.,"['modification: (reader, has_a_method_named, skip())']","[""('class', 'modification', 'method'): (reader, has_a_method_named, skip())""]"
You do so by calling the nextToken() method of the StreamTokenizer inside a loop.,"['traversal: (nexttoken(), calling the method inside a loop, streamtokenizer)']",[]
"System.in, System.out and System.err are initialized by the Java runtime when a Java VM starts up, so you don't have to instantiate any streams yourself (although you can exchange them at runtime).","['replacement: (system.out, can_be_exchanged_with, system.err)']",[]
You will normally use a Writer subclass rather than a Writer directly.,"['inheritance: (writer, use a subclass rather than, writer)']",[]
The Java String parameter passed to the Class forName() method is the name of the JDBC driver class for the given JDBC driver.,,[]
"By the way, imagine that the used Person class looks like this:",,[]
Here is an example of creating a JDBC DatabaseMetaData object via the JDBC Connection getMetaData() method:,"['return: (connection, provides, getmetadata())']",[]
The ResultSet returned by the getColumns() method contains a list of columns for the given table.,,[]
Before the first next() call the ResultSet is positioned before the first row.,"['dependency: (next(), positioned_before, resultset)']",[]
"Once the row is ready to be inserted into the ResultSet, call the insertRow() method.","['containment: (insertrow(), inserted_into, resultset)']","[""('method', 'containment', 'class'): (insertrow(), inserted_into, resultset)""]"
"If you need to insert another row, explicitly call moveToInsertRow() to signal this to the ResultSet.","['dependency: (movetoinsertrow, requires signal to, resultset)']",[]
The purpose of an abstract class is to function as a base for subclasses.,,[]
"If a class has an abstract method, the whole class must be declared abstract.","['dependency: (class, requires, method)']","[""('class', 'dependency', 'method'): (class, requires, method)""]"
The example I showed you above with the URLProcessorBase class is actually an example of the Template Method design pattern.,"['equivalence: (urlprocessorbase, is an example of, template method)']","[""('class', 'equivalence', 'method'): (urlprocessorbase, is an example of, template method)""]"
In the above example the subclass SmartClock has a method called getTimeInSeconds() which accesses the time variable of the superclass Clock.,"['containment: (clock, contains, time)']",[]
The utility class is called Arrays and is located in the standard Java package java.util.,"['containment: (arrays, is located in, java.util)']",[]
The purpose of a constructor is to initialize the fields in the class.,"['dependency: (constructor, purpose, class)']",[]
Now the isValid() method returns the value returned by the value.equals() method call.,"['dependency: (isvalid(), returns the value returned by, equals())']","[""('method', 'dependency', 'method'): (isvalid(), returns the value returned by, equals())""]"
In many cases it would have made sense to place the getLicensePlate() method in the Vehicle class where the licensePlate field is located.,"['containment: (vehicle, contains_field, licenseplate)', 'containment: (vehicle, contains_method, getlicenseplate)', 'dependency: (getlicenseplate(), located_in, vehicle)', 'dependency: (getlicenseplate(), related_to, licenseplate)']",[]
"Here is the same instanceof example, but using a Truck object instead of a Car object: Truck truck = new Truck(); Vehicle vehicle = truck; boolean isCar = vehicle instanceof Car; After executing this code the isCar will contain the value false.","['comparison: (vehicle, evaluated using instanceof against, car)']","[""('class', 'comparison', 'class'): (vehicle, evaluated using instanceof against, car)""]"
The updateLicensePlate() method sets the license plate value on the licensePlate field in the Car class.,"['replacement: (updatelicenseplate(), sets the license plate value on, licenseplate)', 'containment: (licenseplate, field in, car)']",[]
"The getLicensePlate() method, however, returns the value of the licensePlate field in the Vehicle class.","['dependency: (getlicenseplate, depends on, vehicle)']",[]
"If you override a method in a subclass, and the method is all of a sudden removed or renamed or have its signature changed in the superclass, the method in the subclass no longer overrides the method in the superclass.","['modification: (superclass, change_signature, method)', 'inheritance: (subclass, overrides_method, superclass)']","[""('class', 'modification', 'method'): (superclass, change_signature, method)""]"
Here is a Java instanceof example illustrating the comparison of null against a class:,,[]
"That is because it is not the reference type that is compared against the target class or interface, but the actual type of the referenced object.","['comparison: (class, compared against, interface)']","[""('class', 'comparison', 'interface'): (class, compared against, interface)""]"
"A Java interface is a bit like a Java class, except a Java interface can only contain method signatures and fields.","['containment: (java interface, contain, fields)']",[]
The class does not need to implement (declare) the variables of an interface.,"['dependency: (class, need to implement, interface)']","[""('class', 'dependency', 'interface'): (class, need to implement, interface)""]"
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.","['dependency: (class, create, instance)']",[]
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.","['dependency: (methods, conflict with, default methods)']","[""('method', 'dependency', 'method'): (methods, conflict with, default methods)""]"
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,"['modification: (class, explicitly implements the method which causes the problem, interface)']",[]
The implementation in the class takes precedence over any default implementations.,,[]
"Since the return value of produce() is Object, it can return any Java object.","['return: (produce(), return any, object)']","[""('method', 'return', 'class'): (produce(), return any, object)""]"
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.","['conversion: (car, cast_to, object)']","[""('class', 'conversion', 'class'): (car, cast_to, object)""]"
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.","['dependency: (carproducer, depends_on_generic_type_set, produce())', 'inheritance: (carproducer, follows_method_declaration_of, myproducer)', 'return: (produce(), outputs_same_type_as_specified, myproducer)']","[""('class', 'dependency', 'method'): (carproducer, depends_on_generic_type_set, produce())"", ""('method', 'return', 'interface'): (produce(), outputs_same_type_as_specified, myproducer)""]"
Now the result variable would end up with the value 12.5.,,[]
The example above defines a method called writeText inside a class named MyClass.,"['creation: (myclass, defines, writetext)', 'containment: (myclass, contains, writetext)']","[""('class', 'creation', 'method'): (myclass, defines, writetext)""]"
This would happen sometime at runtime - depending on when the application tried to use the missing class.,,[]
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,,[]
Here is how you run the main class from a Java module JAR file:,,[]
In Java nested classes are classes that are defined inside another class.,,[]
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,,[]
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.","['equivalence: (interface, similar to, class)']",[]
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.","['dependency: (cache, requirement, cacheentry)']","[""('class', 'dependency', 'class'): (cache, requirement, cacheentry)""]"
"If the classes A and B are located in the same Java package, there is no problem with the code above.","['dependency: (a, located in the same package as, b)', 'dependency: (a, located in the same package as, java)', 'dependency: (b, located in the same package as, java)']","[""('class', 'dependency', 'class'): (a, located in the same package as, b)""]"
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.",,[]
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,,[]
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,"['modification: (record, add instance methods to, instance methods)', 'comparison: (record, just like, class)', 'comparison: (instance methods, just like, class)']","[""('class', 'modification', 'method'): (record, add instance methods to, instance methods)"", ""('class', 'comparison', 'class'): (record, just like, class)""]"
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,"['dependency: (brandaslowercase(), internally calls, brand())']","[""('method', 'dependency', 'method'): (brandaslowercase(), internally calls, brand())""]"
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.","['creation: (stringbuilder, creation_of, append())', 'conversion: (stringbuilder, transforms_into, tostring())', 'dependency: (append(), prerequisite_for, tostring())']","[""('class', 'creation', 'method'): (stringbuilder, creation_of, append())"", ""('method', 'dependency', 'method'): (append(), prerequisite_for, tostring())""]"
You can search for substrings in Strings using the indexOf() method.,"['containment: (indexof(), search for substrings in, strings)']","[""('method', 'containment', 'class'): (indexof(), search for substrings in, strings)""]"
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,"['containment: (string, has_a, lastindexof())', 'traversal: (lastindexof(), finds_the_last_occurrence_of, string)']",[]
The Java String class contains a method called trim() which can trim a string object.,"['containment: (string, contains_method, trim())']",[]
"If not, the default toString() method (inherited from the Object class) will get called.","['inheritance: (tostring(), inherited from, object)']",[]
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,"['conversion: (string, translates escape codes using, translateescapes())']",[]
When you create an instance of a class (an object) the object can have methods you can execute.,"['creation: (class, can create, method)']","[""('class', 'creation', 'method'): (class, can create, method)""]"
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,,[]
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.","['dependency: (run, requires compilation of, class)']",[]
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.","['comparison: (logrb(), similarity in behavior, log())']","[""('method', 'comparison', 'method'): (logrb(), similarity in behavior, log())""]"
You can obtain the parent Logger of a given Logger using the getParent() method.,"['dependency: (logger, obtain_using, getparent())']","[""('class', 'dependency', 'method'): (logger, obtain_using, getparent())""]"
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,"['return: (getparameters(), returns the parameters to be inserted into the message of, logrecord)']","[""('method', 'return', 'class'): (getparameters(), returns the parameters to be inserted into the message of, logrecord)""]"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"['return: (getresourcebundle(), returns, resourcebundle)']","[""('method', 'return', 'class'): (getresourcebundle(), returns, resourcebundle)""]"
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).","['comparison: (log4j, is another popular java logging api like, slf4j)', 'comparison: (log4j, is another popular java logging api like, apache commons logging)', 'comparison: (log4j, is another popular java logging api like, logback)', 'comparison: (slf4j, is another popular java logging api like, apache commons logging)', 'comparison: (slf4j, is another popular java logging api like, logback)', 'comparison: (apache commons logging, is another popular java logging api like, logback)']",[]
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,"['dependency: (datagrampacket, is prerequisite for, receive())']","[""('class', 'dependency', 'method'): (datagrampacket, is prerequisite for, receive())""]"
The java.net package contains two interesting classes: The URL class and the URLConnection class.,"['comparison: (url, and, urlconnection)']","[""('class', 'comparison', 'class'): (url, and, urlconnection)""]"
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,"['dependency: (isdone(), dependency_on, future)', 'return: (read(), returns, future)']","[""('method', 'return', 'class'): (read(), returns, future)""]"
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,"['dependency: (asynchronousfilechannel, requires calling, write())']","[""('class', 'dependency', 'method'): (asynchronousfilechannel, requires calling, write())""]"
The int returned by the read() method tells how many bytes were written into the Buffer.,"['dependency: (read(), prerequisites for how many bytes were written, buffer)', 'return: (read(), tells how many bytes were written, buffer)']","[""('method', 'return', 'class'): (read(), tells how many bytes were written, buffer)""]"
There is no guarantee of how many bytes the write() method writes to the FileChannel.,"['dependency: (write(), guarantee, filechannel)']",[]
You can obtain the current position of the FileChannel object by calling the position() method.,"['dependency: (filechannel, current position obtained by calling, position())']","[""('class', 'dependency', 'method'): (filechannel, current position obtained by calling, position())""]"
The Files.createDirectory() method creates a new directory from a Path instance.,"['creation: (files.createdirectory(), creates, path)']","[""('method', 'creation', 'class'): (files.createdirectory(), creates, path)""]"
The Java NIO Files class also contains a function for moving files from one path to another.,,[]
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,"['inheritance: (walkfiletree(), extends, simplefilevisitor)']",[]
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.","['dependency: (visitfile(), prerequisite_for_deleting_directories, postvisitdirectory())', 'traversal: (visitfile(), processes_files_in_directories_to_prepare_for_deletion, postvisitdirectory())']","[""('method', 'dependency', 'method'): (visitfile(), prerequisite_for_deleting_directories, postvisitdirectory())""]"
"In many cases though, you can replace the use of the File class with use of the Path interface.","['replacement: (file, replace the use of, path)']",[]
The normalize() method of the Path interface can normalize a path.,,[]
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.",,[]
"You can also attach an object already while registering the Channel with the Selector, in the register() method.",,[]
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,,[]
All you need to do is to obtain a ClassLoader and call its loadClass() method.,,[]
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.",,[]
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",,[]
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,,[]
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.",,[]
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.",,[]
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",,[]
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.",,[]
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",,[]
"For that, you need to use the find(), start() and end() methods.",,[]
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.",,[]
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.",,[]
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,,[]
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",,[]
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,,[]
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.",,[]
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",,[]
"In other words, as a call to the get() method on the HttpRequestCache singleton.",,[]
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,,[]
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().",,[]
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.",,[]
This is the object is obtained from the getResult() method of the IResultSetProcessor.,,[]
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.",,[]
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,,[]
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,,[]
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().",,[]
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,,[]
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.",,[]
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,,[]
The call to the map() method of the Stream interface is a non-terminal operation.,,[]
Only the first occurrence of this element will be included in the Stream returned by distinct().,,[]
"The findFirst() method returns an Optional from which you can obtain the element, if present.",,[]
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.",,[]
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,,[]
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,,[]
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",,[]
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)",,[]
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",,[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.",,[]
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.",,[]
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.",,[]
The value returned by write() is the number of bytes copied from the ByteBuffer.,,[]
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,,[]
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.",,[]
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.",,[]
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,,[]
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,,[]
