The Collections reverse() method can reverse the elements in a Java List.,"['modification: (collections, modifies, reverse())', 'containment: (collections, includes, list)', 'implementation: (reverse(), works on, list)']","[""('class', 'containment', 'class'): (collections, includes, list)""]"
"While it is normally possible for a class to implement multiple interfaces even if the interfaces contain methods with the same signature, this is not possible if one or more of these methods are default methods.",,[]
In both of the above situations the Java compiler requires that the class implementing the interface(s) explicitly implements the method which causes the problem.,,[]
The implementation in the class takes precedence over any default implementations.,,[]
"Since the return value of produce() is Object, it can return any Java object.",,[]
"Notice how the object returned from the carProducer.produce() method call has to be cast to a Car instance, because the produce() method return type is Object.",,[]
"As you can see, since the generic type for the CarProducer instance is set to Car, it is no longer necessary to cast the object returned from the produce() method, since the original method declaration in the MyProducer interface states, that this method returns the same type as is specified in the generic type when used.",,[]
Now the result variable would end up with the value 12.5.,,[]
The example above defines a method called writeText inside a class named MyClass.,,[]
This would happen sometime at runtime - depending on when the application tried to use the missing class.,,[]
This example module descriptor declares that it requires the standard Java module named javafx.graphics.,,[]
Here is how you run the main class from a Java module JAR file:,,[]
In Java nested classes are classes that are defined inside another class.,,[]
Notice how you put new after the reference to the outer class in order to create an instance of the inner class.,,[]
"As you can see, an anonymous class implementing an interface is pretty similar to an anonymous class extending another class.",,[]
"Users of the Cache class may never see the CacheEntry class, if they have no need to obtain information about the CacheEntry itself, but only the cached value.",,[]
"If the classes A and B are located in the same Java package, there is no problem with the code above.",,[]
"Instead of having a fixed number of layer packages which keep growing in number of classes, you get a growing number of application functionality packages with a smaller number of classes inside.",,[]
A Java Record is a special kind of Java class which has a concise syntax for defining immutable data-only classes.,,[]
You can add instance methods to a Java Record definition - just like you can with a regular Java class.,,[]
Notice how the brandAsLowerCase() method calls the auto-generated brand() method internally.,,[]
"As you can see, a new StringBuilder is created, passing along the first String to its constructor, and the second String to its append() method, before finally calling the toString() method.",,[]
You can search for substrings in Strings using the indexOf() method.,,[]
The Java String class also has a lastIndexOf() method which finds the last occurrence of a substring.,,[]
The Java String class contains a method called trim() which can trim a string object.,,[]
"If not, the default toString() method (inherited from the Object class) will get called.",,[]
From Java 13 the Java String class got a new method called translateEscapes() which can translate escape codes that exist inside a String in the same way the Java compiler translates them.,,[]
When you create an instance of a class (an object) the object can have methods you can execute.,,[]
The second line assigns the floating point value 199.99 to the floating point variable named myFloat.,,[]
"When you click the ""Run..."" option, IntelliJ IDEA will first compile your Java class, and then run it.",,[]
"The logrb() methods work like the log() methods too, except they can obtain the log messages from a resource bundle.",,[]
You can obtain the parent Logger of a given Logger using the getParent() method.,,[]
The getParameters() method returns the parameters to be inserted into the message of this LogRecord.,,[]
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,,[]
"Note: This tutorial does not cover the other popular Java logging API's (Log4J, SLF4J, Apache Commons Logging, LogBack etc.).",,[]
Receiving data via a DatagramSocket is done by first creating a DatagramPacket and then receiving data into it via the DatagramSocket's receive() method.,,[]
The java.net package contains two interesting classes: The URL class and the URLConnection class.,,[]
You can check the when the read operation is finished by calling the isDone() method of the Future instance returned by the read() method.,,[]
Each way to write data call one of the write() methods of the AsynchronousFileChannel.,,[]
The int returned by the read() method tells how many bytes were written into the Buffer.,,[]
There is no guarantee of how many bytes the write() method writes to the FileChannel.,,[]
You can obtain the current position of the FileChannel object by calling the position() method.,,[]
The Files.createDirectory() method creates a new directory from a Path instance.,,[]
The Java NIO Files class also contains a function for moving files from one path to another.,,[]
Here is a walkFileTree() that extends SimpleFileVisitor to look for a file named README.txt :,,[]
"By walking through all directories and deleting all files (inside visitFile()) in each directory, and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files.",,[]
"In many cases though, you can replace the use of the File class with use of the Path interface.",,[]
The normalize() method of the Path interface can normalize a path.,,[]
"As you saw in the previous section, when you register a Channel with a Selector the register() method returns a SelectionKey objects.",,[]
"You can also attach an object already while registering the Channel with the Selector, in the register() method.",,[]
NOTE: Only the interfaces specifically declared implemented by a given class is returned.,,[]
All you need to do is to obtain a ClassLoader and call its loadClass() method.,,[]
"When the MyAction class calls methods on the IMyFactory instance injected into its constructor by the container, the method calls are translated into calls to the IContainer.instance() method, which is the method you use to obtain instances from the container.",,[]
"You cannot ask for getters and setters explicitly, so you will have to scan through all the methods of a class and check if each method is a getter or setter.",,[]
To access a private field you will need to call the Class.getDeclaredField(String name) or Class.getDeclaredFields() method.,,[]
"By calling Field.setAcessible(true) you turn off the access checks for this particular Field instance, for reflection only.",,[]
"The methods Class.getMethod(String name, Class[] parameterTypes) and Class.getMethods() methods only return public methods, so they won't work.",,[]
"It will explain the basics of Java Reflection including how to work with arrays, annotations, generics and dynamic proxies, and do dynamic class loading and reloading.",,[]
"For instance, if you are introspecting a String array, you can detect that the element type is String by inspecting the array class.",,[]
"For instance, the character class [a-zA-Z] will match all letters between a and z or between A and Z .",,[]
"For that, you need to use the find(), start() and end() methods.",,[]
"In other words, if the regular expression matches the beginning of a text but not the whole text, lookingAt() will return true, whereas matches() will return false.",,[]
"In case you have started matching occurrences in a string via the find() method, the Matcher will internally keep a state about how far it has searched through the input text.",,[]
The Matcher replaceAll() and replaceFirst() methods can be used to replace parts of the string the Matcher is searching through.,,[]
A regular expression is also sometimes referred to as a pattern (hence the name of the Java Pattern class).,,[]
"Too keep this text short, the Matcher covered in more detail in the text about the Java Matcher class.",,[]
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,,[]
"But, notice how no DI is used inside the BO.checkPersonIsValid() or the DAO.readPerson() methods.",,[]
"This little script defines the ""max"" factory as a call to the static max() method with input parameter 0 and 1 passed to the max() method.",,[]
"In other words, as a call to the get() method on the HttpRequestCache singleton.",,[]
The ScriptFactoryBuilder has a addFactories() method that takes an InputStream as parameter instead of a String.,,[]
"Notice how the HttpServletRequest and HttpServletResponse are not obtained by the ThreadLocal.get() method, but via the static methods getRequest() and getResponse().","['accessibility: (httpservletrequest, accessed by, getrequest())', 'accessibility: (httpservletresponse, accessed by, getresponse())', 'preference: (httpservletrequest, preferred over, threadlocal.get())', 'preference: (httpservletresponse, preferred over, threadlocal.get())']","[""('class', 'accessibility', 'method'): (httpservletrequest, accessed by, getrequest())"", ""('class', 'accessibility', 'method'): (httpservletresponse, accessed by, getresponse())"", ""('class', 'preference', 'method'): (httpservletrequest, preferred over, threadlocal.get())"", ""('class', 'preference', 'method'): (httpservletresponse, preferred over, threadlocal.get())""]"
"The IObjectMappingKey instance can contain more information about the class to be mapped, than a Class object can.","['containment: (iobjectmappingkey, contain more information about, class)']",[]
This is the object is obtained from the getResult() method of the IResultSetProcessor.,"['containment: (iresultsetprocessor, getresult method is a part of, getresult)']",[]
"This speeds up object mapping cache lookups because the hashCode() method returns this int id, and because equals() also only compares int id's, instead of Class objects, table names etc.","['comparison: (hashcode(), returns this int id, equals())', ""comparison: (hashcode(), compares int id's, equals())""]","[""('method', 'comparison', 'method'): (hashcode(), returns this int id, equals())"", ""('method', 'comparison', 'method'): (hashcode(), compares int id's, equals())""]"
The extended class CustomObjectMapperBase is an empty implementation of the ICustomObjectMapper interface.,"['implementation: (customobjectmapperbase, extended as an empty implementation of, icustomobjectmapper)']","[""('class', 'implementation', 'interface'): (customobjectmapperbase, extended as an empty implementation of, icustomobjectmapper)""]"
Just call the IObjectMapping.removeGetterMapping(String name) or IObjectMapping.removeSetterMapping(String name) method to do so.,"['dependence: (iobjectmapping.removegettermapping, relies on, iobjectmapping.removesettermapping)', 'dependence: (iobjectmapping.removesettermapping, relies on, iobjectmapping.removegettermapping)']",[]
"Second, you do not need the parentheses around the closure when calling doFirst() or doLast().","['comparison: (dofirst, parentheses need, dolast)']","[""('method', 'comparison', 'method'): (dofirst, parentheses need, dolast)""]"
The and() method is used to combine two other Predicate functions in the same way I showed in the beginning of this Java functional composition tutorial.,"['collaboration: (and(), combine, predicate)']",[]
"The Java Function compose() method composes a new Function instance from the Function instance it is called on, and the Function instance passed as parameter to the compose() method.",,[]
The first example of a higher order function is the Collections.sort() method which takes a Comparator as parameter.,"['dependency: (collections.sort(), takes, comparator)']",[]
The call to the map() method of the Stream interface is a non-terminal operation.,"['implementation: (map(), method of, stream)']",[]
Only the first occurrence of this element will be included in the Stream returned by distinct().,,[]
"The findFirst() method returns an Optional from which you can obtain the element, if present.",,[]
"The Java Stream forEach() method is a terminal operation which starts the internal iteration of the elements in the Stream, and applies a Consumer (java.util.function.Consumer) to each element in the Stream.","['containment: (stream, contains, foreach())', 'containment: (stream, contains, consumer)', 'containment: (stream, contains, java.util.function.consumer)', 'containment: (stream, contains, java.util.function)', 'implementation: (foreach(), utilizes, consumer)', 'implementation: (foreach(), utilizes, java.util.function.consumer)']",[]
Which element is the largest is determined by the Comparator implementation you pass to the max() method.,"['dependency: (max(), determined by, comparator)', 'implementation: (comparator, comparator implementation, max())']",[]
This Optional contains the value (if any) returned by the lambda expression passed to the reduce() method.,"['containment: (optional, contains, reduce)']",[]
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",,[]
"You can specify fonts for most text objects (Chunk, Phrase, Paragraph etc.)","['containment: (chunk, inclusion, phrase)', 'containment: (chunk, inclusion, paragraph)', 'containment: (phrase, inclusion, paragraph)']","[""('class', 'containment', 'class'): (chunk, inclusion, phrase)"", ""('class', 'containment', 'class'): (chunk, inclusion, paragraph)"", ""('class', 'containment', 'class'): (phrase, inclusion, paragraph)""]"
"If you already have a finished PDF, and just want to add a header, footer or watermark to it, IText provides the com.itextpdf.pdf.PdfStamper class.",,[]
"You can write text as superscript or subscript using the Chunk class, and it's setTextRise() method.","['containment: (chunk, using, settextrise())']",[]
"You can add underline and strikethrough text using the Chunk class, and its setUnderline() method.","['implementation: (chunk, add underline and strikethrough text using the chunk class, setunderline())']","[""('class', 'implementation', 'method'): (chunk, add underline and strikethrough text using the chunk class, setunderline())""]"
"It is now up to the caller of the readMyData() method to decide if an existing MyData instance should be reused, or if a new instance should be created.","['dependency: (readmydata, reuse or create instance of, mydata)']",[]
The value returned by write() is the number of bytes copied from the ByteBuffer.,"['containment: (write(), number of bytes copied from, bytebuffer)']","[""('method', 'containment', 'class'): (write(), number of bytes copied from, bytebuffer)""]"
Here is an implementation of the ring buffer that uses a fill count including the batch put() and take() operations.,"['implementation: (put(), batch operations, take())']",[]
"Here is an implementation of the ring buffer that uses a read position and flip marker, including the batch put() and take() operations.","['collaboration: (put(), batch operations usage, take())']",[]
"If your benchmark method produces multiple results you can pass each of these results to a black hole, meaning calling consume() on the Blackhole instance for each value.","['dependency: (consume(), requires, blackhole)']",[]
The javax.servlet.http.HttpServlet class is a slightly more advanced base class than the GenericServlet shown in the Simple Servlet example.,"['comparison: (javax.servlet.http.httpservlet, more advanced base class, javax.servlet.genericservlet)']","[""('class', 'comparison', 'class'): (javax.servlet.http.httpservlet, more advanced base class, javax.servlet.genericservlet)""]"
The easiest way to implement this interface is to extend either the class GenericServlet or HttpServlet.,"['implementation: (genericservlet, extend, httpservlet)']",[]
Each test method usually tests a single method of the target class.,"['containment: (method, tests, class)']","[""('method', 'containment', 'class'): (method, tests, class)""]"
"A protected method or field, on the other hand, is also accessible to other classes in the same package, and for subclasses of the unit too.","['accessibility: (protected, accessible to, classes)', 'accessibility: (protected, accessible to, package)', 'accessibility: (protected, accessible to, subclasses)']",[]
"When your business logic class is separated from the boundary class, you can test the business logic class separately.","['comparison: (business logic class, separated from, boundary class)']","[""('class', 'comparison', 'class'): (business logic class, separated from, boundary class)""]"
Here is the unit test which uses a ByteArrayOutputStream to collect the data written to the OutputStream passed to the MyIOUnit.write() method:,"['containment: (bytearrayoutputstream, collect the data written to, outputstream)', 'implementation: (bytearrayoutputstream, collect the data written to the outputstream passed to, myiounit.write())', 'accessibility: (outputstream, passed to, myiounit.write())']","[""('class', 'containment', 'class'): (bytearrayoutputstream, collect the data written to, outputstream)"", ""('class', 'implementation', 'method'): (bytearrayoutputstream, collect the data written to the outputstream passed to, myiounit.write())"", ""('class', 'accessibility', 'method'): (outputstream, passed to, myiounit.write())""]"
You may also be able to use the StringReader and StringWriter classes in your unit tests.,"['comparison: (stringreader, usable_with, stringwriter)']","[""('class', 'comparison', 'class'): (stringreader, usable_with, stringwriter)""]"
"To avoid fragmenting the Java heap with Bytes instances, the Bytes class is designed to be obtained from an ObjectPool .",,[]
To defragment the free blocks you call the defragment() method of the BytesAllocatorManualDefrag .,"['implementation: (defragment(), method of, bytesallocatormanualdefrag)']",[]
The Bytes class represents a byte sequence allocated from a shared byte array.,,[]
"As you can see, the ChannelInitializer is added to the ServerBootstrap using the childHandler() method.","['containment: (serverbootstrap, childhandler_usage, channelinitializer)']","[""('class', 'containment', 'class'): (serverbootstrap, childhandler_usage, channelinitializer)""]"
"By calling sync() on the ChannelFuture the main thread that creates the server waits until the server has started, before continuing.","['accessibility: (sync(), calling on, channelfuture)', 'dependency: (sync(), dependency on, channelfuture)']","[""('method', 'accessibility', 'class'): (sync(), calling on, channelfuture)""]"
The easiest way to create an instance of the RionObjectReader is via the RionObjectReaderBuilder class.,"['creation: (rionobjectreader, create, rionobjectreaderbuilder)']",[]
The RionObjectReader readCyclic() method reads a cyclic object graph stored as RION in a byte array.,"['implementation: (rionobjectreader, reads, readcyclic())']","[""('class', 'implementation', 'method'): (rionobjectreader, reads, readcyclic())""]"
The RionObjectWriter writeAcyclic() can write an acyclic object graph as RION into a byte array.,"['implementation: (rionobjectwriter, write an acyclic object graph as rion into a byte array, writeacyclic())']","[""('class', 'implementation', 'method'): (rionobjectwriter, write an acyclic object graph as rion into a byte array, writeacyclic())""]"
When reading a composite RION field you need to use the RionReader moveInto() and moveOutOf() methods.,"['dependency: (moveinto(), usage_requirement, moveoutof())']","[""('method', 'dependency', 'method'): (moveinto(), usage_requirement, moveoutof())""]"
"Here are two examples of writing a 32 bit and 64 bit floating point number as RION Float fields to the destination byte array, using the RionWriter writeFloat32() and writeFloat64() methods:","['comparison: (writefloat32(), contrasted with, writefloat64())']","[""('method', 'comparison', 'method'): (writefloat32(), contrasted with, writefloat64())""]"
The StreamStorageFS class contains a method to read bytes from a stream block file.,"['containment: (streamstoragefs, contains, read)']",[]
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.","['containment: (readbytes, reads_bytes_from, streamstorageblockfs)', 'containment: (readbytes, reads_bytes_into, byte[])', 'containment: (streamstorageblockfs, represented_in, file)']","[""('method', 'containment', 'class'): (readbytes, reads_bytes_from, streamstorageblockfs)""]"
You can always obtain the root directory path a StreamStorageRootFS was created with via its getRootDirPath() method.,"['accessibility: (streamstoragerootfs, obtain the root directory path via, getrootdirpath())']","[""('class', 'accessibility', 'method'): (streamstoragerootfs, obtain the root directory path via, getrootdirpath())""]"
"When you write records to a stream via the StreamStorageFS instance, the StreamStorageFS class will divide the records into multiple files.","['containment: (streamstoragefs, writes records to, streamstoragefs)', 'containment: (streamstoragefs, writes records to, streamstoragefs)', 'containment: (streamstoragefs, writes records to, streamstoragefs)']","[""('class', 'containment', 'class'): (streamstoragefs, writes records to, streamstoragefs)"", ""('class', 'containment', 'class'): (streamstoragefs, writes records to, streamstoragefs)"", ""('class', 'containment', 'class'): (streamstoragefs, writes records to, streamstoragefs)""]"
You can read the data stored in a Buffer using the many get...() methods.,"['containment: (buffer, stored in, get...())']",[]
Notice the use of / as directory separator and the use of : as classpath entry separator.,,[]
"However, if you do need to access the body of the HTTP response, you need to register another handler on the HttpClientResponse that is passed as parameter to the first Handler's handle() method.","['dependency: (httpclientresponse, is passed as parameter to, handle())']",[]
"Again, the NetClient's close() method is asynchronous, so the underlying TCP connection may not yet be closed by the time the close() method returns.",,[]
Sending messages via the event bus can be done via either the send() or publish() method on the event bus.,"['implementation: (send(), method of using, publish())']",[]
A verticle has a start() and a stop() method which are called when the verticle is deployed and when it is undeployed.,"['dependency: (start, occurs when the verticle is deployed, stop)', 'dependency: (stop, occurs when the verticle is undeployed, start)']","[""('method', 'dependency', 'method'): (start, occurs when the verticle is deployed, stop)"", ""('method', 'dependency', 'method'): (stop, occurs when the verticle is undeployed, start)""]"
The addAll() method takes a Collection as parameter so you can pass either a List or Java Set as parameter,"['containment: (collection, inclusion, list)', 'containment: (collection, inclusion, set)']","[""('class', 'containment', 'class'): (collection, inclusion, list)"", ""('class', 'containment', 'class'): (collection, inclusion, set)""]"
But no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block,"['dependency: (unlock(), executes after, lock())']","[""('method', 'dependency', 'method'): (unlock(), executes after, lock())""]"
A thread cannot call wait() notify() or notifyAll() without holding the lock on the object the method is called on,"['dependency: (wait(), requires, notify())', 'dependency: (wait(), requires, notifyall())', 'dependency: (notify(), requires, notifyall())']","[""('method', 'dependency', 'method'): (wait(), requires, notify())"", ""('method', 'dependency', 'method'): (wait(), requires, notifyall())"", ""('method', 'dependency', 'method'): (notify(), requires, notifyall())""]"
"The Arrays class contains a set of methods called binarySearch(). This method helps you perform a binary search in an array. The array must first be sorted. You can do so yourself, or via the Arrays.sort() method covered earlier in this text.","['containment: (arrays, contains a set of methods called, binarysearch())', 'containment: (arrays, via, arrays.sort())', 'implementation: (binarysearch(), perform a binary search in, arrays.sort())']",[]
java.lang.ThreadLocal is possible to set an initial value for a Java ThreadLocal which will get used the first time get() is called before set() has been called with a new value,"['dependency: (java.lang.threadlocal, reliance on the initial value of the java threadlocal, java.lang.threadlocal.get())', 'dependency: (java.lang.threadlocal, relies on the initial value before set() is called, java.lang.threadlocal.set())', 'dependency: (java.lang.threadlocal.get(), relies on the initial state, java.lang.threadlocal.set())']","[""('method', 'dependency', 'method'): (java.lang.threadlocal.get(), relies on the initial state, java.lang.threadlocal.set())""]"
Adding and getting elements to a generic Map is done using the put() and get() methods just like you have always done,"['dependency: (put(), usage, get())']","[""('method', 'dependency', 'method'): (put(), usage, get())""]"
Deque.pollLast() is different than removeLast() which throws an exception if the Deque is empty,"['comparison: (deque.polllast(), is different than, deque.removelast())']","[""('method', 'comparison', 'method'): (deque.polllast(), is different than, deque.removelast())""]"
The tailSet() method works the same way as the headSet() method except it returns all elements that are equal to or higher than the given parameter element,"['comparison: (tailset(), works the same way as, headset())']","[""('method', 'comparison', 'method'): (tailset(), works the same way as, headset())""]"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.","['containment: (iterator, obtain from, list)', 'containment: (iterator, obtain from, set)', 'containment: (iterator, obtain from, map)', 'containment: (iterator, obtain from, queue)', 'containment: (iterator, obtain from, deque)']","[""('class', 'containment', 'class'): (iterator, obtain from, list)"", ""('class', 'containment', 'class'): (iterator, obtain from, set)"", ""('class', 'containment', 'class'): (iterator, obtain from, map)"", ""('class', 'containment', 'class'): (iterator, obtain from, queue)"", ""('class', 'containment', 'class'): (iterator, obtain from, deque)""]"
java.io.Writer works just like combining the Reader with InputStream or the Writer with OutputStream,,[]
Remember that even if the 4 threads call wait() and notify() on the same shared string instance the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances,"['collaboration: (wait(), signals interaction, notify())']",[]
The bigger the result String grows the longer it takes to copy the characters from it into a new StringBuilder and again copy the characters from the StringBuilder into the temporary String created by the toString() method,"['creation: (stringbuilder, grows_from_copy, string)', 'conversion: (stringbuilder, created_by_tostring, tostring)', 'conversion: (string, copied_to_temporary_string, tostring)']",[]
The logp() methods work like the log() methods except each method take an extra two parameters The sourceClass and sourceMethod parameter,"['comparison: (logp(), difference in parameter usage, log())']","[""('method', 'comparison', 'method'): (logp(), difference in parameter usage, log())""]"
But since the thread waiting in lock() has not yet called queueObject.wait() the call to queueObject.notify() passes into oblivion,"['dependency: (lock, waiting in, wait)', 'dependency: (wait, called by, queueobject)', 'causality: (queueobject, notify passes into oblivion when, wait)', 'dependency: (notify, called on, queueobject)']",[]
Since PipedOutputStream is a subclass of OutputStream PipedOutputStream has the same basic methods and use patterns as an OutputStream,"['implementation: (pipedoutputstream, is a subclass of, outputstream)']",[]
You can convert a Java Set to a Java List by creating a List and calling its addAll() method passing the Set as parameter to the addAll() method,"['conversion: (set, convert, list)', 'dependency: (set, parameter, addall())', 'dependency: (list, addall(), addall())']","[""('class', 'conversion', 'class'): (set, convert, list)""]"
Even though the Java Networking APIs enable you to open and close network connections via sockets all communication happens via the Java IO classes InputStream and OutputStream,"['containment: (networking, enable via, socket)', 'dependency: (networking, happens via, inputstream)', 'dependency: (networking, happens via, outputstream)']","[""('package', 'containment', 'class'): (networking, enable via, socket)""]"
Again here the first() and next() methods return the unicode index of the found word boundary,"['implementation: (first(), return, next())']",[]
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"['dependency: (contains(), use, equals())']","[""('method', 'dependency', 'method'): (contains(), use, equals())""]"
Both Java File and FileChannel works but in case you want a pure Java NIO solution use the Java NIO FileChannel class,"['preference: (java file, preference, java nio filechannel)', 'comparison: (java file, comparison, filechannel)', 'comparison: (filechannel, comparison, java nio filechannel)', 'implementation: (java nio, implementation, java nio filechannel)']","[""('class', 'preference', 'class'): (java file, preference, java nio filechannel)"", ""('class', 'comparison', 'class'): (java file, comparison, filechannel)"", ""('class', 'comparison', 'class'): (filechannel, comparison, java nio filechannel)""]"
If you need an integer value use the round() floor() or ceil() method,"['comparison: (round(), evaluate or contrast characteristics, floor())', 'comparison: (round(), evaluate or contrast characteristics, ceil())', 'comparison: (floor(), evaluate or contrast characteristics, ceil())']","[""('method', 'comparison', 'method'): (round(), evaluate or contrast characteristics, floor())"", ""('method', 'comparison', 'method'): (round(), evaluate or contrast characteristics, ceil())"", ""('method', 'comparison', 'method'): (floor(), evaluate or contrast characteristics, ceil())""]"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"['comparison: (poll(), behavior_if_empty, remove())']","[""('method', 'comparison', 'method'): (poll(), behavior_if_empty, remove())""]"
"The add() and offer() methods differ in how the behave if the Queue is full, so no more elements can be added. The add() method throws an exception in that case, whereas the offer() method just returns false.","['comparison: (add(), throws an exception if full, offer())', 'containment: (add(), methods in, queue)', 'containment: (offer(), methods in, queue)']","[""('method', 'comparison', 'method'): (add(), throws an exception if full, offer())"", ""('method', 'containment', 'class'): (add(), methods in, queue)"", ""('method', 'containment', 'class'): (offer(), methods in, queue)""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"['implementation: (ceilingentry(), will be covered in the following sections, floorentry())', 'implementation: (ceilingentry(), will be covered in the following sections, higherentry())', 'implementation: (ceilingentry(), will be covered in the following sections, lowerentry())', 'implementation: (floorentry(), will be covered in the following sections, higherentry())', 'implementation: (floorentry(), will be covered in the following sections, lowerentry())', 'implementation: (higherentry(), will be covered in the following sections, lowerentry())']",[]
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"['dependency: (take(), guard the critical section, release())']","[""('method', 'dependency', 'method'): (take(), guard the critical section, release())""]"
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"['dependency: (inputstream, read from, outputstream)']","[""('class', 'dependency', 'class'): (inputstream, read from, outputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"['containment: (java collection api, rely on the correct implementation of, hashcode())', 'containment: (java collection api, rely on the correct implementation of, equals())']","[""('package', 'containment', 'method'): (java collection api, rely on the correct implementation of, hashcode())"", ""('package', 'containment', 'method'): (java collection api, rely on the correct implementation of, equals())""]"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"['creation: (java.io.printwriter, creates, java.io.filewriter)', 'containment: (java.io.printwriter, is connected to, java.io.filewriter)']","[""('class', 'containment', 'class'): (java.io.printwriter, is connected to, java.io.filewriter)""]"
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"['creation: (inputstream.read(), creates, asynchronousfilechannel)', 'creation: (inputstream.read(), creates, bytebuffer)', 'containment: (asynchronousfilechannel, inclusion, bytebuffer)']","[""('method', 'creation', 'class'): (inputstream.read(), creates, asynchronousfilechannel)"", ""('method', 'creation', 'class'): (inputstream.read(), creates, bytebuffer)"", ""('class', 'containment', 'class'): (asynchronousfilechannel, inclusion, bytebuffer)""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"['implementation: (java.lang.stringbuffer, use, simpledateformat)']",[]
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"['accessibility: (marksupported(), access, mark())', 'accessibility: (marksupported(), access, reset())', 'implementation: (marksupported(), support, bufferedinputstream)', 'dependency: (marksupported(), find out if, inputstream)', 'dependency: (mark(), support, reset())', 'implementation: (mark(), support, bufferedinputstream)', 'dependency: (mark(), access, inputstream)', 'implementation: (reset(), support, bufferedinputstream)', 'dependency: (reset(), access, inputstream)']","[""('method', 'accessibility', 'method'): (marksupported(), access, mark())"", ""('method', 'accessibility', 'method'): (marksupported(), access, reset())"", ""('method', 'dependency', 'method'): (mark(), support, reset())""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","['implementation: (newline(), write, writer)', 'dependency: (flush(), ensure_flush_out_of_buffer, writer)']",[]
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"['comparison: (queue.poll(), is different than, remove())', 'comparison: (remove(), throws an exception if, deque)']","[""('method', 'comparison', 'method'): (queue.poll(), is different than, remove())""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"['containment: (set(), contains_synchronized_blocks, get())']",[]
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","['comparison: (replace(), different from how, put())']","[""('method', 'comparison', 'method'): (replace(), different from how, put())""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"['comparison: (logrb(), similarity, log())']","[""('method', 'comparison', 'method'): (logrb(), similarity, log())""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"['containment: (handler, use a, java.util.logging.formatter)', 'containment: (handler, format the, logrecord)', 'containment: (java.util.logging.formatter, format the, logrecord)']","[""('class', 'containment', 'class'): (handler, use a, java.util.logging.formatter)"", ""('class', 'containment', 'class'): (handler, format the, logrecord)"", ""('class', 'containment', 'class'): (java.util.logging.formatter, format the, logrecord)""]"
